p_mois,p_vol,p_ash,p_car,p_sul,p_hhv,p_lhv,u_car,u_hyd,u_nit,u_oxy,u_sul_exc,u_hyd_exc,u_oxy_exc
32.19,29.65,15.35,22.81,1.94,3429.5,3133.5,37.01,6.04,1.2,38.45,1.94,2.44,9.87
33.54,29.04,14.98,22.45,1.88,3352.2,3050.6,36.45,6.16,1.18,39.35,1.88,2.41,9.57
33.24,28.99,15.68,22.09,1.91,3350,3049.6,36.29,6.13,1.16,38.84,1.91,2.41,9.31
38.79,26.54,16,18.67,1.65,2923,2599.7,31.53,6.41,0.99,43.42,1.65,2.07,8.97
33.79,28.83,15.89,21.48,1.88,3293.8,2991.1,35.31,6.12,1.11,39.68,1.88,2.34,9.67
34.19,28.59,15.33,21.89,1.85,3309.3,3005,35.77,6.17,1.16,39.71,1.85,2.34,9.34
34.63,27.79,16.88,20.71,2,3177.4,2871.2,34.31,6.11,1.11,39.6,2,2.23,8.84
33.33,28.89,16.71,21.07,1.94,3254.3,2953.6,35.23,6.04,1.15,38.92,1.94,2.31,9.33
33.16,29.08,17.08,20.68,1.99,3234.8,2934.8,34.82,5.97,1.11,39.03,1.99,2.26,9.58
32.17,28.87,17.75,21.22,2.09,3269.7,2973.8,35.19,5.88,1.13,37.96,2.09,2.28,9.39
32.46,28.97,17.51,21.06,2.05,3258.1,2960.9,35.33,5.93,1.13,38.05,2.05,2.3,9.22
29.45,30.35,17.24,22.97,1.94,3537.7,3253,37.69,5.8,1.26,36.07,1.94,2.51,9.92
31.7,28.91,17.55,21.84,2.38,3374.5,3080.4,35.93,5.91,1.07,37.16,2.38,2.36,9.01
35.58,28.25,15.56,20.61,2.43,3247.7,2937.7,34.41,6.22,0.99,40.4,2.43,2.23,8.8
34.76,28.7,15.97,20.58,2.37,3263,2956.4,34.78,6.13,0.99,39.77,2.37,2.24,8.9
35.17,28.37,16.36,20.11,2.4,3226.8,2918.5,34.32,6.14,0.99,39.8,2.4,2.2,8.57
33.69,29.09,16.88,20.34,2.35,3263.9,2961.7,34.86,6.01,1,38.9,2.35,2.24,8.98
35.41,28.88,15.83,19.89,2.3,3223.4,2914.1,34.58,6.18,0.99,40.12,2.3,2.22,8.68
32.88,28.96,17.37,20.79,2.25,3303.4,3004.5,34.96,5.92,1.03,38.48,2.25,2.24,9.28
34.25,28.14,17.29,20.32,2.46,3219,2914.4,34.64,6.13,1.05,38.43,2.46,2.29,8.01
29.74,29.58,19.92,20.76,2.07,3353.9,3068,35.54,5.68,1.08,35.71,2.07,2.35,9.29
34.45,29.5,15.7,20.36,2.21,3288.4,2983,35.24,6.1,0.98,39.78,2.21,2.24,9.18
32.31,30.29,16.94,20.47,2.08,3328.8,3032.3,35.59,5.87,1.01,38.51,2.08,2.26,9.82
31.94,30.26,17.35,20.45,2.27,3303.6,3008.6,35.69,5.84,0.99,37.87,2.27,2.27,9.5
33.53,29.48,17.11,19.88,2.28,3228.5,2926.9,34.74,5.97,0.98,38.92,2.28,2.22,9.14
33.02,29.7,17.58,19.7,2.31,3234.9,2935.5,34.62,5.91,0.97,38.62,2.31,2.22,9.29
31.85,30.54,16.83,20.79,2.25,3357.1,3062.5,36.22,5.91,1.02,37.77,2.25,2.35,9.49
32.28,30.25,16.36,21.11,2.42,3389.5,3093.1,36.36,5.97,1.04,37.84,2.42,2.36,9.18
32.44,30.08,17.94,19.54,2.38,3267.7,2970.6,35.04,5.91,1.02,37.71,2.38,2.28,8.9
31.44,30.25,17.55,20.75,2.57,3340.5,3047.6,36.07,5.86,1.06,36.89,2.57,2.34,8.97
32.6,29.55,17.52,20.33,2.42,3280.5,2982.8,35.26,6,1.06,37.74,2.42,2.35,8.79
30.48,31.12,19.97,18.44,2.48,3202.6,2913.7,34.64,5.72,1.01,36.19,2.48,2.31,9.12
31.15,30.78,18.42,19.65,2.54,3299,3007.2,35.6,5.85,1.07,36.53,2.54,2.36,8.87
33.34,29.5,15.78,21.38,2.31,3376.3,3075.5,36.11,6.12,1.07,38.61,2.3,2.39,8.99
35.13,29.14,14.43,21.3,2.19,3394.5,3086.4,36.16,6.34,1.08,39.8,2.19,2.41,8.6
34.96,29.9,14.18,20.96,2.34,3424,3116.5,36.53,6.36,1.1,39.5,2.34,2.45,8.45
37.01,27.63,14.88,20.5,2.27,3237.6,2921.7,34.58,6.41,1.05,40.82,2.27,2.27,7.95
35.57,28.67,14.75,21,2.31,3349.8,3039.8,35.78,6.34,1.09,39.74,2.31,2.36,8.15
