ar_mois,ar_vol,ae_ash,ar_fc,ar_sul,ar_hhv,ar_lhv,ar_oxy_exc
33.26,25.99,22.23,18.52,2.801,2909.918,2609.464,7.389
33.43,26.35,21.39,18.83,2.692,2930.933,2629.778,7.806
32.44,25.86,23.75,17.95,2.749,2830.956,2533.887,7.658
30.65,24.7,26.42,18.23,3.042,2735.76,2446.08,6.67
29.75,23.52,29.38,17.35,2.36,2614.37,2328.405,6.644
30.69,24.37,25.05,19.89,2.499,2928.969,2639.124,6.054
30.03,23.87,28.4,17.7,2.435,2657.551,2370.43,6.27
33.16,26.34,23.38,17.12,2.253,2800.051,2500.01,6.597
33.4,25.91,23.18,17.51,2.332,2798.587,2497.556,6.832
33.99,26.13,22.83,17.05,2.467,2796.257,2492.79,6.177
33.44,25.84,22.09,18.63,2.462,2900.055,2598.859,6.684
33.57,25.45,20.32,20.66,2.427,3090.099,2788.366,6.085
33.71,25.57,20.29,20.43,2.308,3061.449,2759.138,6.39
28.72,28.88,18.47,23.93,2.394,3536.774,3255.061,7.036
33.76,25.1,19.76,21.38,2.778,3084.971,2782.453,7.914
33.37,25.66,22.15,18.82,2.558,2895.431,2594.523,7.949
32.49,25.54,25.02,16.95,2.622,2755.516,2458.24,7.123
31.14,26.18,22.63,20.05,2.917,3075.835,2784.133,7.691
31.8,26.43,21.8,19.97,2.935,3091.877,2797.45,7.932
31.7,26.34,21.89,20.07,3.054,3106.797,2812.783,7.336
31.9,26.16,22.41,19.53,2.781,3055.477,2760.637,7.704
31.06,26.14,23.54,19.26,2.83,3020.582,2729.21,7.402
31.09,26.11,24.75,18.05,2.82,2927.286,2635.79,7.557
31.64,26.16,22.33,19.87,3.134,3063.069,2769.303,7.193
31.64,26.06,23.02,19.28,3.11,3001.989,2708.223,7.558
30.66,25,26.35,17.99,2.902,2806.945,2517.224,6.693
31.22,25.53,22.67,20.58,2.941,3082.713,2790.68,6.926
30.73,25.37,23.83,20.07,2.883,3004.186,2714.176,7.222
33.82,23.57,26.48,16.13,2.755,2566.63,2263.865,6.842
34.03,25.71,20.3,19.96,2.545,3002.604,2698.972,8.295
32.93,25.96,21.91,19.2,2.661,2957.13,2658.039,7.875
33.05,25.74,22.34,18.87,2.638,2924.027,2624.44,7.713
31.73,23.29,26.48,18.5,2.673,2748.171,2454.033,7.304
30.03,23.65,27.93,18.39,2.919,2718.555,2431.435,7.465
31.84,25.16,23.5,19.5,2.754,2916.833,2622.24,7.767
32.04,25.17,23.02,19.77,2.695,2974.846,2679.429,7.6
33.18,26.11,23.86,16.85,2.402,2776.681,2476.557,8.163
32.19,26.19,23.28,18.34,2.848,2904.662,2608.625,7.87
33.41,24.68,23.71,18.2,3.006,2829.836,2528.764,6.822
33.15,24.15,24.86,17.84,2.802,2697.638,2397.639,7.415
33.32,24.67,22.29,19.72,2.711,2941.516,2640.814,7.416
32.84,23.93,26.63,16.6,2.565,2627.017,2328.297,7.231
32.26,24.67,23.91,19.16,2.613,2870.142,2573.816,7.701
32.62,24.11,24.39,18.88,2.804,2817.938,2520.126,7.442
34.18,24.97,23.47,17.38,3.414,2822.212,2517.96,6.169
34.31,24.95,23.23,17.51,3.453,2836.403,2531.615,6
34.08,25.71,24.06,16.15,3.234,2717.898,2414.059,6.596
35.13,24.99,23.39,16.49,3.42,2747.978,2439.805,5.858
34.21,25.42,25.03,15.34,2.772,2582.57,2278.195,7.244
33.02,24.33,27.96,14.69,2.511,2460.593,2161.13,7.296
33.97,25.39,23.1,17.54,2.714,2765.565,2462.181,7.364
33.95,25.75,22.94,17.36,2.797,2808.645,2505.343,7.095
28.74,23.06,34.64,13.56,2.476,2303.002,2021.207,4.255
29.89,23.56,29.84,16.71,2.799,2636.786,2350.243,6.729
29.74,22.99,30.64,16.63,2.763,2591.439,2305.516,6.509
28.43,23.52,29.53,18.52,3.443,2710.455,2429.939,4.993
30.24,23.89,25.43,20.44,3.066,2883.68,2595.692,7.806
27.75,23.92,31.67,16.66,2.994,2579.572,2301.863,6.013
30.47,24.22,25.65,19.66,2.794,2859.386,2570.449,8.113
28.81,24.15,29.7,17.34,2.936,2650.783,2368.698,5.367
31.31,23.34,29.06,16.29,2.664,2543.518,2251.114,6.413
31.03,23.2,26.03,19.74,3.06,2898.802,2607.553,6.967
30.67,23.95,26.97,18.41,2.897,2755.205,2465.443,7.483
31.05,23.97,26.56,18.42,2.748,2763.847,2472.516,7.688
31.24,24.62,25.02,19.12,2.885,2868.78,2576.664,7.803
31.45,23.52,27.74,17.29,2.632,2677.772,2384.79,5.948
28.54,22.56,33.51,15.39,3.093,2413.218,2132.248,6.62
31.61,27.12,23.2,18.07,2.831,2973.805,2680.162,7.662
32.39,27.22,22.62,17.77,3.305,2987.928,2691.066,7.18
32.05,27.56,23.28,17.11,2.874,2908.36,2612.901,8.028
32.75,26.52,20.67,20.06,3.013,3093.697,2795.349,8.034
33.35,27.23,18.94,20.48,3.006,3215.812,2914.987,7.792
32.91,26.65,20.19,20.25,3.005,3142.525,2843.516,8.138
31.87,25.31,25.2,17.62,2.774,2796.49,2501.775,7.75
31.99,27.81,24.63,15.57,3.261,2823.241,2528.03,7.203
30.85,27.05,24.93,17.17,3.161,2862.692,2572.186,7.184
31.78,27.54,23.65,17.03,3.884,2959.429,2665.084,6.981
30.83,26.88,24.53,17.76,3.177,2932.839,2642.416,7.649
30.32,27.19,24.65,17.84,3.172,2962.889,2674.571,7.688
28.98,26.57,27.23,17.22,3.13,2884.739,2601.953,7.37
26.78,25.96,32.61,14.65,3.687,2601.188,2327.483,6.863
29.54,26.88,25.94,17.64,3.203,2937.39,2652.292,7.626
29.74,27.13,25.58,17.55,3.206,2970.413,2684.49,7.439
29.26,26.14,29.76,14.84,2.939,2639.566,2355.624,7.028
27.23,25.52,32.05,15.2,3.079,2632.241,2356.678,6.86
30.45,27.23,26.21,16.11,2.989,2830.489,2541.635,7.461
29.96,26.83,27.34,15.87,2.931,2763.93,2477.098,7.742
30.44,24.92,29.74,14.9,2.896,2543.519,2254.706,6.808
32.48,27.09,25.13,15.3,3.448,2775.811,2478.577,6.545
30.69,25.45,28.31,15.55,3.078,2677.089,2387.244,6.754
31.62,25.5,28.04,14.84,2.92,2605.901,2312.217,7.166
30.29,24.61,30.24,14.86,2.956,2548.652,2260.458,6.896
31.08,25.26,29.55,14.11,3.177,2544.77,2253.315,6.596
30.3,25.07,29.5,15.13,3.04,2644.633,2356.398,4.054
31.47,24.54,29.47,14.52,2.833,2509.601,2216.536,6.771
29.64,24.61,30.89,14.86,2.976,2522.977,2237.466,6.825
31.76,26.1,26.7,15.44,2.86,2721.26,2426.998,7.375
30.61,27.45,23.98,17.96,3.03,3040.459,2750.945,7.181
29.62,25.74,29.2,15.44,2.887,2686.989,2401.561,7.183
29.8,26.56,28.35,15.29,2.937,2720.603,2434.432,7.185
32.25,24.94,26.61,16.2,2.944,2672.631,2376.346,6.362
28.91,26.87,28.37,15.85,2.908,2756.539,2474.042,6.609
31.59,27.96,23.83,16.62,3.282,2917.094,2623.533,7.224
29.57,26.86,26.22,17.35,2.818,2870.004,2584.782,7.562
29.33,25.81,28.79,16.07,2.971,2751.43,2467.198,5.395
29.8,27.4,29.29,13.51,3.367,2589.954,2303.783,6.637
30.01,25.85,27.2,16.94,2.993,2782.471,2495.433,7.663
29.84,26.03,29.34,14.79,2.763,2628.273,2341.936,7.166
28.74,26.4,28.43,16.43,2.961,2815.695,2533.9,7.279
28.55,28.5,28.64,14.31,3.566,2729.499,2448.488,6.579
28.92,25.73,28.3,17.05,2.89,2802.389,2519.85,7.72
29.87,24.94,30.07,15.12,2.72,2582.683,2296.223,7.059
28.49,23.61,33.36,14.54,2.566,2431.391,2150.627,7.184
29.51,25.03,28.71,16.75,2.767,2726.41,2441.436,7.439
31.29,27.44,27.22,14.05,3.225,2616.826,2324.504,7.316
28.57,26.32,28.12,16.99,2.873,2832.811,2551.717,8.025
30.19,25.79,28.42,15.6,2.812,2661.036,2373.255,7.484
31.54,28.29,24.43,15.74,3.303,2845.786,2552.433,7.584
29.06,26.54,27.6,16.8,2.806,2826.126,2543.009,8.33
29.45,27.11,26.83,16.61,2.799,2818.917,2534.19,8.383
32.54,28.01,22.09,17.36,3.228,2974.678,2677.197,7.745
28.48,25.81,29.56,16.15,2.977,2745.537,2464.814,7.249
27.91,26.16,29.95,15.98,2.915,2711.36,2432.99,7.754
29.35,25.68,29.64,15.33,2.93,2647.985,2363.672,7.138
28.81,27.06,29.35,14.78,3.16,2652.709,2370.625,7.387
27.54,25.86,32.78,13.82,3.063,2529.224,2252.382,6.823
27.3,25.58,32.78,14.34,3.055,2546.268,2270.416,6.957
30.16,26.79,29.35,13.7,3.132,2552.339,2264.681,7.329
31.71,26.65,28.06,13.58,3.534,2592.129,2298.073,6.548
29.27,26.34,28.33,16.06,3.157,2784.722,2500.738,7.397
28.54,26.25,29.42,15.79,3.129,2717.44,2436.47,7.11
28.88,26.1,29.12,15.9,3.072,2733.408,2451.035,7.113
27.2,27.43,30.13,15.24,3.005,2755.948,2480.509,7.337
27.56,28.96,31.35,12.13,3.402,2707.333,2430.408,6.767
26.16,27.24,31.04,15.56,3.091,2770.045,2498.899,7.479
26.2,27.52,31.02,15.26,3.124,2776.134,2504.823,7.301
29.92,25.72,28.52,15.84,2.655,2706.926,2420.26,7.795
29.79,26.13,27.52,16.56,2.871,2804.516,2518.386,7.531
28.99,26.06,29.08,15.87,2.847,2741.906,2459.078,7.616
25.27,26.52,32.6,15.61,3.085,2748.318,2480.846,7.448
26.6,27.51,29.02,16.87,2.752,2890.565,2617.603,8.021
26.46,27.39,28.73,17.42,2.834,2977.285,2704.901,8.169
29.74,27.55,27.98,14.73,3.14,2755.381,2469.458,7.551
29.37,26.18,30.48,13.97,3.216,2630.106,2345.71,6.974
29.09,26.72,27.64,16.55,3.025,2894.603,2611.363,6.213
30,26.32,27.19,16.49,3.017,2856.19,2569.193,7.898
27.39,25.02,32.69,14.9,2.893,2555.695,2279.473,7.74
29.17,27.28,28.96,14.59,3.779,2714.442,2430.871,6.988
28.55,25.31,30.97,15.17,2.828,2634.762,2353.75,7.873
29.06,24.97,30.73,15.24,2.73,2617.21,2334.093,7.679
26.8,27.52,29.14,16.54,3.136,2898.9,2625.112,7.297
27.51,26.58,30.51,15.4,3.022,2688.774,2412.056,7.134
29.56,27.04,27,16.4,3.492,2812.313,2527.132,7.164
27.8,27.42,28.2,16.58,3.172,2860.187,2582.272,6.841
31.3,28.26,22.51,17.93,2.633,3031.77,2739.407,8.916
32.16,27.57,22.03,18.24,3.054,3116.739,2820.826,7.822
32.63,25.93,24.68,16.76,2.712,2854.735,2556.882,8
33.63,27.95,21.46,16.96,2.719,2955.062,2653.081,9.055
28.67,27.56,27.2,16.57,3.036,2937.678,2656.171,8.083
27.89,26.12,30.68,15.31,2.972,2728.592,2450.305,7.523
30.06,28.62,25.59,15.73,3.675,2978.131,2690.886,7.237
27.56,25.93,29.86,16.65,2.819,2804.07,2527.145,7.294
30.66,26.68,26.72,15.94,2.928,2826.995,2537.274,7.506
28.85,26.01,30.14,15,2.977,2670.634,2388.384,7.058
28.64,26.68,28.07,16.61,2.859,2865.082,2583.7,7.439
30.12,28.55,26.02,15.31,3.446,2904.663,2617.171,7.139
32.28,28.13,26.49,13.1,3.342,2598.342,2301.933,7.19
32.5,28.33,25.4,13.77,3.395,2702.047,2404.73,7.227
32.24,28.79,24.48,14.49,3.499,2801.029,2504.786,6.91
32.22,27.61,24.48,15.69,3.559,2851.944,2555.783,6.557
28.11,27.22,27.56,17.11,2.817,2896.126,2616.931,8.297
27.52,27.99,29.46,15.03,3.591,2805.473,2528.713,7.401
27.24,27.91,27.78,17.07,2.981,2960.228,2684.624,8.477
