p_ar_mois,p_ar_vol,p_ar_ash,p_ar_fc,p_ar_sul,u_ar_car,u_ar_nit,u_ar_hyd_exc,u_ar_oxy_exc
34.27,24.76,26.04,14.93,2.601,27.426,1.046,1.788,6.825
34.02,24.46,26.41,15.11,2.563,27.376,1.058,1.618,6.954
34.21,25.28,25.16,15.35,2.558,27.926,1.058,1.649,7.441
33.68,25.89,26.47,13.96,2.821,28.568,1.011,1.49,5.961
32.34,26.87,26.22,14.57,3.339,28.794,1.011,1.113,7.186
31.84,26.52,25.14,16.5,2.902,29.812,1.102,1.172,8.028
32.09,26.31,26.19,15.41,2.884,28.828,1.083,1.272,7.649
30.48,24.99,28.91,15.62,2.825,27.94,1.05,1.211,7.585
30.05,25.58,27.35,17.02,2.805,29.277,1.092,1.286,8.142
29.24,25.7,28.14,16.92,2.61,29.535,1.088,1.716,7.671
29.86,25.41,29.81,14.92,2.733,27.778,1.025,1.637,7.154
32.19,24.87,27.59,15.35,2.842,27.908,1.041,1.389,7.038
32,25.08,27.16,15.76,3.145,28.405,1.018,1.237,7.032
31.76,25.58,27.01,15.65,2.842,28.593,1.056,1.163,7.578
31.4,25.74,27.38,15.48,2.958,29.489,1.057,1.1,6.618
31.26,25.48,29.64,13.62,3.058,27.175,0.974,1.324,6.572
29.99,25.92,28.94,15.15,3.043,28.657,1.043,1.475,6.852
30.32,25.98,28.08,15.62,3.122,28.799,1.046,1.311,7.322
32.84,25.87,28.46,12.83,3.061,26.643,0.955,1.318,6.724
29.98,25.48,30.59,13.95,3.208,26.986,0.988,1.642,6.605
31.96,24.95,29.08,14.01,2.88,26.862,0.988,1.372,6.854
31.98,25.5,29.16,13.36,2.656,26.876,0.979,1.828,6.517
34.39,26.1,25.31,14.2,3.308,27.981,0.964,1.651,6.399
32.41,25.23,27.42,14.94,2.848,27.75,1.012,1.625,6.936
31.77,25.56,28.18,14.49,2.872,27.662,1.018,1.639,6.858
29.85,25.54,31.06,13.55,3.605,26.757,0.934,1.629,6.16
30.07,27.65,26.62,15.66,3.246,30.051,1.059,1.742,7.211
29.31,27.02,27.94,15.73,3.094,29.345,1.071,1.735,7.504
29.55,26.83,28,15.62,3.31,29.274,1.076,1.653,7.136
30.3,27.38,26.52,15.8,3.155,29.815,1.134,1.712,7.36
29.46,26.84,28.11,15.59,3.055,28.811,1.115,1.661,7.791
29.51,26.61,28.67,15.21,3.1,28.606,1.121,1.661,7.335
30.56,26.13,28.47,14.84,2.787,28.663,1.083,1.491,6.944
31.01,25.34,27.66,15.99,2.781,29.493,1.072,1.487,6.496
32.36,25.15,28.07,14.42,2.947,27.063,0.999,1.437,7.126
31.5,26.58,26.49,15.43,2.971,28.856,1.042,1.424,7.715
32.53,26.44,25.91,15.12,3.144,28.432,0.993,1.376,7.611
32.17,26.14,25.38,16.31,2.864,29.355,1.072,1.425,7.738
31.54,27.19,24.41,16.86,2.885,30.331,1.092,1.49,8.249
31.73,24.9,30.63,12.74,2.662,25.592,0.992,1.167,7.225
32.37,25.7,26.34,15.59,2.808,28.183,1.021,1.532,7.743
32.79,26.03,25.43,15.75,2.743,28.679,1.049,1.478,7.836
32.79,25.33,27.3,14.58,2.875,27.268,1.025,1.191,7.55
31.88,26.42,26.4,15.3,2.905,28.681,1.081,1.179,7.875
31.75,26.38,26.27,15.6,2.911,29.681,1.121,1.205,7.059
32.46,25.33,27.46,14.75,3.172,27.261,0.947,1.104,7.595
31.44,25.95,27.1,15.51,2.943,28.393,1.104,1.447,7.575
31.57,26.12,25.75,16.56,2.958,29.405,1.13,1.536,7.648
31.55,26.28,26.46,15.71,3.034,28.999,1.11,1.501,7.346
31.85,25.16,28.02,14.97,2.721,27.553,1.107,1.172,7.572
31.75,25.88,27.46,14.91,2.717,28.329,1.092,1.314,7.335
31.54,25.72,30.04,12.7,2.691,26.288,0.999,1.701,6.736
31.34,27.63,25.1,15.93,3.298,29.957,1.013,1.224,8.069
32.26,26.3,25.21,16.23,3.052,29.584,1.081,2.387,6.427
34.94,25.86,26.84,12.36,2.988,26.041,0.909,1.466,6.82
34.05,25.94,24.22,15.79,2.852,28.911,1.05,1.616,7.304
34.11,25.43,25.42,15.04,2.761,28.474,1.053,1.529,6.651
33.58,25.35,25.96,15.11,2.71,27.967,1.022,1.371,7.387
30.28,24.67,30.45,14.6,3.058,26.203,0.924,1.343,7.74
33.81,25.59,24.98,15.62,2.803,28.38,1.035,1.055,7.936
32.32,26.15,27.27,14.26,2.768,27.744,0.999,1.462,7.44
31.55,25.12,27.12,16.21,2.717,27.93,1.006,1.165,8.516
30.74,25.42,28.33,15.51,2.893,27.761,1.027,1.185,8.068
33.82,26.24,27.89,12.05,3.129,25.746,0.907,0.884,7.627
32.07,26.71,25.5,15.72,2.837,29.345,1.039,1.598,7.613
31.34,25.47,29.03,14.16,2.859,27.094,1.016,1.396,7.267
31.4,26.23,27.18,15.19,3.043,28.214,1.057,1.541,7.561
31.66,26.42,27.74,14.18,3.134,27.845,0.993,1.53,7.095
32.68,25.91,25.88,15.53,3.013,28.666,1.062,1.326,7.375
31.53,26.82,25.5,16.15,2.914,29.335,1.045,1.394,8.284
30.96,25.75,30.58,12.71,3.265,26.099,0.885,1.397,6.812
29.72,24.5,29.36,16.42,2.985,27.919,1.053,1.407,7.559
29.08,24.52,29.75,16.65,2.949,27.901,1.055,1.531,7.729
29.36,25.45,31.32,13.87,3.013,26.541,0.984,1.37,7.411
27.66,26.81,29.99,15.54,3.064,28.856,1.049,1.539,7.838
28.84,26.65,29.94,14.57,3.159,27.944,1.024,1.548,7.543
29.26,26.65,29.1,14.99,3.256,28.456,1.047,1.45,7.427
29.15,28.3,28.98,13.57,3.22,28.523,0.972,1.362,7.789
29.31,26.52,29.58,14.59,3.02,27.963,1.007,1.346,7.768
28.73,24.92,32.75,13.6,2.939,26.007,0.951,1.434,7.19
28.25,26.39,31.16,14.2,2.994,27.736,0.993,1.663,7.203
28.83,26.64,28.99,15.54,2.912,28.954,1.017,1.68,7.62
30.49,27.34,28.26,13.91,3.287,28.465,0.94,1.647,6.907
29.6,26.39,27.6,16.41,2.995,29.624,1.075,1.702,7.404
29.94,27,25.04,18.02,3.193,31.213,1.125,1.858,7.628
31.2,27.23,27.18,14.39,3.161,28.955,1.035,1.558,6.914
30.88,25.28,29.61,14.23,3.114,27.166,0.984,1.561,6.689
30.57,26.51,28.92,14,3.287,27.965,0.937,1.644,6.677
31.46,26.71,26.67,15.16,3.056,28.936,1.031,1.744,7.098
31.1,24.28,30.08,14.54,3.028,26.269,0.978,2.798,5.752
30.88,25.84,29.24,14.04,3.503,27.63,0.937,1.757,6.054
30.88,25.49,28.05,15.58,2.997,28.293,1.04,1.811,6.928
30.28,25.37,29.11,15.24,2.872,27.857,1.018,2.038,6.831
31.38,26.92,24.18,17.52,3.094,30.986,1.107,2.321,6.93
30.11,26.85,27.32,15.72,3.092,29.357,1.093,2.059,6.975
28.7,25.86,31.4,14.04,3.663,27.196,1,1.873,6.174
31.52,26.42,27.41,14.65,3.034,29.646,1.077,1.904,5.405
32.11,25.96,27.35,14.58,2.968,28.653,1.066,1.704,6.15
30.54,26.1,28.98,14.38,2.952,28.21,1.027,1.885,6.402
30.77,26,29.04,14.19,2.976,27.965,1.051,1.787,6.409
31.03,28.02,22.33,18.62,2.692,32.85,1.193,1.851,8.052
30.76,28.78,23.84,16.62,3.029,31.898,1.134,1.713,7.622
30.91,29.23,22.07,17.79,2.962,33.154,1.185,1.8,7.917
30.1,29.74,24.57,15.59,2.965,31.024,1.115,1.659,8.569
28.91,27.9,27.55,15.64,3.834,32.108,1.134,1.623,4.838
30.02,26.78,27.35,15.85,2.916,29.399,1.169,1.537,7.612
30.44,27.34,25.53,16.69,3.03,30.57,1.22,1.511,7.7
27.71,28.08,28.38,15.83,3.786,30.63,1.074,2,6.425
29.97,26.94,26.59,16.5,2.913,30.098,1.123,1.916,7.386
30.5,27.09,25.53,16.88,2.853,30.636,1.141,1.846,7.494
32.84,26.45,26.68,14.03,3.171,27.976,0.978,1.492,6.863
31.11,25.85,28.1,14.94,2.85,28.24,1.045,1.307,7.349
31.03,25.75,28.97,14.25,2.903,27.624,1.031,1.289,7.154
32.09,27.26,27.51,13.14,3.518,28.005,0.999,1.587,6.292
29.79,26.85,28.57,14.79,2.907,28.733,1.079,1.656,7.267
29.96,27.26,27.5,15.28,2.885,29.401,1.113,1.648,7.49
29.77,28.25,25.97,16.01,3.378,30.822,1.1,1.678,7.284
28.59,27.72,27.32,16.37,3.361,30.67,1.115,1.733,7.206
29.01,27.48,27.19,16.32,3.421,30.587,1.104,1.745,6.941
29.36,27.85,28.14,14.65,3.257,27.228,1.051,2.003,8.957
29.24,27.7,26.31,16.75,3.18,31.023,1.197,2.21,6.842
28.69,27.88,26.86,16.57,3.206,31.161,1.156,2.062,6.868
29.44,25.83,31.46,13.27,3.044,26.966,1.021,1.648,6.417
29.67,25.9,30.66,13.77,3.029,27.376,1.033,1.5,6.734
31.68,26.33,26.14,15.85,3.134,29.681,1.109,1.715,6.545
29.77,26.51,30.26,13.46,2.933,27.722,1.043,1.704,6.564
30.42,26.47,27.67,15.44,3.044,29.231,1.099,1.787,6.749
27.54,26.23,31.19,15.04,3.187,28.503,1.069,1.821,6.686
29.24,27.41,28.92,14.43,3.229,29.091,1.078,1.752,6.691
28.65,28.14,26.97,16.24,3.229,31.092,1.145,1.947,6.97
29.75,25.48,31.12,13.65,3.145,26.744,1.017,2.248,5.971
31.52,26.6,28.61,13.27,3.272,26.888,0.97,1.975,6.768
30.95,26.71,25.79,16.55,3.294,30.896,1.088,2.094,5.884
30.81,26.51,26.7,15.98,3.378,30.706,1.048,1.883,5.474
28.58,27.14,28.72,15.56,3.343,28.752,1.215,1.79,7.601
28.54,27.29,30.09,14.08,3.479,27.612,1.143,2.006,7.133
28.35,28.32,26.03,17.3,3.227,32.756,1.315,1.979,6.338
28.47,28.01,25.89,17.63,3.241,31.429,1.15,1.981,7.842
26.97,26.93,30.89,15.21,3.333,28.385,1.209,1.928,7.288
28.26,27.42,30.13,14.19,3.298,30.221,1.134,1.9,5.059
31.14,27.05,25.88,15.93,2.872,30.187,1.143,1.893,6.889
32.31,26.54,24.79,16.36,2.837,31.024,1.16,1.77,6.106
28.44,27.98,26.55,17.03,3.752,31.303,1.11,1.692,7.148
29.91,27.49,26.09,16.51,2.868,30.51,1.145,1.575,7.901
30.5,27.64,23.99,17.87,2.741,31.449,1.182,1.789,8.352
30.5,26.33,26.05,17.12,3.121,29.843,1.107,2.043,7.337
31.52,25.98,26.86,15.64,2.954,28.507,1.063,1.896,7.196
32.42,26.39,26.78,14.41,2.936,28.175,1.056,1.793,6.837
31.69,25.55,25.35,17.41,3.046,29.738,1.119,2.151,6.901
30.63,26.2,27.88,15.29,2.829,28.346,1.079,1.507,7.728
30.65,26.61,27.44,15.3,2.85,28.481,1.073,1.43,8.072
30.7,25.72,29.05,14.53,2.908,27.515,1.046,1.717,7.061
30.26,27.13,27.54,15.07,3.024,28.718,1.084,1.703,7.668
29.92,26.62,27.27,16.19,2.963,29.852,1.079,1.584,7.329
31.15,26.27,25.68,16.9,2.827,29.657,1.111,1.506,8.065
31.58,26.82,25.77,15.83,2.86,29.243,1.095,1.582,7.873
29,25.24,31.38,14.38,3.389,26.876,1.051,2.667,5.633
29.49,26.57,29.81,14.13,2.942,27.975,1.043,1.722,7.015
30.95,25.85,28.51,14.69,2.752,28.061,1.071,1.603,7.05
30.88,26.33,29.1,13.69,2.814,27.678,1.041,1.551,6.941
31.87,25.16,28.85,14.12,2.891,26.855,1.017,1.613,6.901
30.64,25.23,30.13,14,3.271,26.622,0.968,1.553,6.821
31.59,25.44,28.66,14.31,2.859,27.254,1.038,1.553,7.043
31.96,25.97,27.46,14.61,2.8,27.865,1.056,1.513,7.348
33.21,23.65,28.25,14.89,3.334,26.673,0.99,1.662,5.885
32.41,24.51,25.9,17.18,2.96,28.902,1.076,1.739,7.008
32.5,24.74,26.45,16.31,2.994,28.486,1.063,1.895,6.612
32.24,24.68,27.01,16.07,3.05,28.295,1.055,1.886,6.463
29.59,25.9,30.19,14.32,3.102,27.368,1.023,1.925,6.806
29.29,25.03,27.97,17.71,2.801,29.808,1.13,2.123,6.88
30.58,25.24,29.72,14.46,3.013,27.096,1.026,1.886,6.682
30.86,26.38,26.87,15.89,2.936,28.809,1.072,1.91,7.548
31.11,26.77,26.35,15.77,2.944,29.101,1.171,1.784,7.537
30.91,25.12,30.27,13.7,3.207,27.652,1.128,1.453,5.382
31.52,26.4,26.43,15.65,2.841,30.72,1.239,1.511,5.741
31.3,26.63,25.98,16.09,2.844,30.993,1.229,1.598,6.052
29.37,26.26,29.42,14.95,3.423,29.69,1.101,2.016,4.976
28.19,25.73,30.77,15.31,2.982,30.567,1.132,1.845,4.517
27.24,25.99,30.32,16.45,3.495,30.466,1.181,1.709,5.588
26.71,26.78,31.01,15.5,2.878,30.266,1.192,1.681,6.261
27.34,26.59,30.55,15.52,2.984,31.77,1.182,1.859,4.313
29.17,24.67,32.42,13.74,2.786,27.433,1.094,1.504,5.589
31.72,27.11,26.21,14.96,3.338,30.853,1.128,1.469,5.282
30.52,26.15,28.92,14.41,2.786,29.146,1.175,1.327,6.13
30.52,26.05,28.87,14.56,2.788,29.19,1.14,1.495,5.993
31.95,25.96,26.5,15.59,3.071,30.518,1.178,2.058,4.727
32.34,26.69,24.77,16.2,3.063,31.63,1.208,1.572,5.414
31.93,26.72,25.44,15.91,3.122,31.184,1.195,1.988,5.143
29.84,26.49,25.66,18.01,3.453,32.71,1.225,1.654,5.461
30.67,25.59,29.9,13.84,3.123,28.304,1.087,1.642,5.278
31.03,26.27,27.15,15.55,2.896,30.758,1.183,1.583,5.397
29.03,27.87,27.36,15.74,3.139,31.947,1.224,1.607,5.698
25.76,24.81,35.55,13.88,3.077,27.045,1.033,1.571,5.966
31.68,26.38,26.02,15.92,2.749,30.861,1.228,1.269,6.192
30.98,26.99,26.03,16,3.106,31.601,1.188,1.936,5.155
29.99,26.98,27.05,15.98,3.363,31.486,1.173,1.912,5.023
30.15,26.5,26.68,16.67,3.071,31.441,1.211,1.854,5.595
30.02,27.05,25.56,17.37,3.119,32.369,1.264,1.859,5.805
31.78,24.63,29.71,13.88,2.855,27.53,1.108,1.515,5.505
32.04,25.67,27.2,15.09,2.981,29.669,1.175,1.527,5.41
32.49,25.44,26.65,15.42,2.942,29.674,1.15,1.942,5.156
32.27,26.16,26.19,15.38,2.974,30.277,1.276,1.47,5.547
32.25,25.75,27.32,14.68,3.047,25.815,1.064,1.102,9.406
31.36,25.98,27.66,15,3.232,30.057,1.355,1.723,4.61
31.59,24.65,28.25,15.51,3.049,29.131,1.152,1.357,5.468
31.57,25.72,28.27,14.44,3.115,29.527,1.156,1.236,5.129
32.55,24.33,29.13,13.99,2.822,27.742,1.097,1.364,5.299
32.82,25.38,27.3,14.5,2.953,29.18,1.337,1.371,5.038
30.48,26.87,26.67,15.98,2.84,31.131,1.442,1.367,6.073
31.12,25.81,28.52,14.55,2.739,29.214,1.366,1.475,5.564
29.61,26.25,29.41,14.73,3.11,29.652,1.336,1.406,5.475
29.1,27.27,27.87,15.76,2.954,33.251,1.431,1.154,4.238
31.06,26.87,27.16,14.91,3.265,31.072,1.337,2.079,4.031
29.35,25.44,28.7,16.51,3.364,30.553,1.357,1.95,4.721
29.56,25.45,27.76,17.23,3.393,31.298,1.363,1.847,4.781
30.14,25.65,30.96,13.25,2.953,28.358,1.305,1.681,4.603
30.07,26.13,28.61,15.19,3.046,30.248,1.355,1.621,5.046
30.56,24.18,31.76,13.5,3.23,27.265,1.051,1.767,4.369
31.86,26.29,24.29,17.56,3.583,31.623,1.29,2.5,4.849
31.29,25.45,29.61,13.65,2.9,28.576,1.073,1.451,5.095
30.07,24.97,30.7,14.26,3.151,27.403,1.096,1.952,5.631
30.2,26.96,26.75,16.09,3.691,31.657,1.159,2.005,4.535
30.88,26.67,26.57,15.88,3.421,30.629,1.221,1.871,5.404
29.16,23.07,32.18,15.59,3.184,27.539,1.132,1.67,5.137
31.09,25.51,26.07,17.33,3.896,30.951,1.128,1.916,4.954
30.15,22.36,32.17,15.32,3.013,26.383,1.033,1.653,5.599
28.44,25.11,31.93,14.52,3.146,26.948,1.054,1.691,6.786
28.94,25.05,30.96,15.05,3.143,28.021,1.095,1.62,6.223
30.69,25.94,29.76,13.61,3.036,27.957,1.085,1.427,6.047
30.59,25.14,28.8,15.47,3.199,28.334,1.16,1.251,6.665
31.79,25.49,28.62,14.1,2.737,28.281,1.141,1.3,6.127
29.56,26.16,29.37,14.91,3.181,28.7,1.097,1.369,6.72
29.95,26.49,28.09,15.47,3.18,29.539,1.185,1.306,6.75
27.77,25.32,33.65,13.26,3.009,27.913,1.245,1.347,5.065
29.75,25.25,30.88,14.12,2.95,26.653,1.108,1.134,7.53
31.22,26.02,27.17,15.59,3.062,29.487,1.177,1.305,6.575
30.19,24.57,30.64,14.6,2.868,27.784,1.093,1.415,6.006
32.08,27.15,27.05,13.72,3.14,29.294,1.098,1.37,5.968
30.46,25.57,28.47,15.5,2.979,29.529,1.147,1.383,6.029
32.23,28.24,23.63,15.9,3.482,32.562,1.349,1.128,5.616
31.4,25.59,28.43,14.58,3.015,28.505,1.311,1.251,6.091
30.5,26.8,27.23,15.47,2.989,30.801,1.179,1.219,6.088
30.39,26.79,27.63,15.19,3.056,30.176,1.189,1.417,6.146
30.54,24.18,30.73,14.55,3.237,27.773,1.089,1.434,5.2
29.77,25.35,28.96,15.92,2.978,29.502,1.175,1.599,6.017
29.7,25.66,28.14,16.5,2.962,30.863,1.202,1.594,5.541
27.42,24.63,32.28,15.67,3.101,28.895,1.182,1.614,5.504
28.49,24.45,30.3,16.76,2.87,30.126,1.186,1.599,5.426
30.37,23.5,30.27,15.86,2.767,28.226,1.151,1.454,5.764
27.95,23.32,29.76,18.97,3.142,30.762,1.281,1.527,5.574
31.08,24.45,26.66,17.81,2.886,31.154,1.239,1.514,5.467
29.45,24.38,29.89,16.28,3.128,29.353,1.171,2.423,4.588
28.8,25.34,27.83,18.03,2.986,31.063,1.425,2.106,5.789
30.01,23.67,31.12,15.2,3.177,27.816,1.19,1.701,4.986
30.27,24.47,28.4,16.86,2.746,29.698,1.196,1.737,5.95
29.83,24.84,28.09,17.24,2.881,30.549,1.34,1.786,5.519
30.91,24,28.27,16.82,2.709,25.832,0.998,1.314,9.969
30.13,21.57,33.04,15.26,2.702,25.86,1.023,1.214,6.034
33.41,22.99,28.52,15.08,2.561,27.38,1.139,1.433,5.554
32.21,23.78,27.55,16.46,2.728,29.05,1.202,1.516,5.743
32.6,23.46,27.85,16.09,2.764,29.507,1.284,1.369,4.628
28.64,24.27,31.17,15.92,2.776,28.867,1.47,1.507,5.573
29.34,22.42,33.24,15,2.578,26.426,1.148,1.126,6.139
29.23,24.15,30.19,16.43,2.743,29.118,1.258,1.253,6.209
29.7,24.65,27.67,17.98,2.677,29.805,1.174,1.138,7.836
30.06,23.66,28.98,17.3,2.655,30.276,1.202,1.413,5.413
31.82,23.73,28.8,15.65,2.8,29.496,1.221,1.291,4.568
31.24,24.7,27.93,16.13,2.854,28.222,1.092,1.362,7.304
30.53,26.08,27.98,15.41,2.834,27.87,1.123,1.298,8.369
26.89,26.63,32.28,14.2,2.898,28.964,1.295,2.712,4.964
29.37,25.8,29.52,15.31,2.784,27.114,0.998,1.555,8.657
28.58,26.76,29.63,15.03,2.663,27.767,1.254,1.679,8.429
30.07,26.32,28.25,15.36,2.871,30.546,1.082,1.227,5.956
27.36,28.25,28.74,15.65,3.276,28.921,1.121,1.653,8.924
29.86,25.67,29.08,15.39,2.926,28.075,1.206,1.617,7.238
25.76,29.67,29.11,15.46,3.687,28.678,1.154,1.743,9.869
30.39,24.68,30.3,14.63,2.93,26.734,1.101,1.626,6.916
26.24,26.25,29.49,18.02,3.727,30.27,1.116,1.959,7.201
31.38,27.01,24.7,16.91,3.101,31.284,1.175,1.727,6.631
31.68,26.68,24.18,17.46,3.156,31.717,1.191,1.57,6.506
28.52,25.85,29.16,16.47,3.156,28.721,1.081,1.814,7.55
27.87,26.8,28.72,16.61,3.218,29.32,1.16,1.799,7.909
28.82,25.41,31.33,14.44,2.963,27.193,1.495,1.3,6.901
26.97,26.42,30.79,15.82,2.909,27.019,1.493,1.301,9.514
29.09,27.04,29.17,14.7,2.812,28.88,1.438,1.97,6.638
27.85,26.89,31.37,13.89,3.285,28.675,1.435,1.661,5.722
27.08,28.19,30.37,14.36,3.628,30.054,1.464,1.72,5.682
29.08,29,27.89,14.03,3.06,30.103,1.132,1.901,6.837
28.02,25.9,33.34,12.74,2.798,27.26,1.138,1.88,5.567
28.76,27.1,30.62,13.52,2.805,29.092,1.104,1.869,5.746
29.37,26.41,30.09,14.13,2.77,29.334,1.1,1.706,5.634
29.47,27.5,27.86,15.17,2.739,30.568,1.162,1.798,6.405
27.95,25.57,33.24,13.24,2.681,27.785,1.081,1.588,5.677
26.64,29.28,31.7,12.38,3.432,27.936,1.087,2.437,6.768
28.34,26.9,30.86,13.9,2.547,30.351,1.129,1.378,5.4
27.93,27.07,30.62,14.38,2.713,28.256,1.026,2.15,7.308
28.05,27.33,29.79,14.83,2.722,29.048,1.054,2.18,7.154
29.49,26.48,31.44,12.59,2.898,26.373,0.953,2.008,6.843
29.75,23.57,31.81,14.87,2.853,26.344,0.937,2.083,6.226
28.33,24.2,32.29,15.18,2.873,26.922,0.954,2.043,6.591
30.06,25.5,29.76,14.68,2.827,27.503,1.339,1.256,7.257
28.64,25.57,29.78,16.01,3.175,28.508,1.416,1.328,7.153
29.68,24.44,33.13,12.75,2.874,25.26,1.398,1.04,6.615
29.8,25.67,31.64,12.89,2.611,26.078,1.466,0.869,7.531
28.67,25.17,33.23,12.93,2.496,25.458,0.936,2.015,7.191
28.57,24.88,33.27,13.28,2.451,25.53,0.946,2.038,7.199
27.65,26.54,32.47,13.34,2.847,27.062,0.969,2.091,6.913
28.57,27.04,31.65,12.74,2.764,26.775,0.974,2.073,7.189
29.11,25.91,30.13,14.85,2.723,28.074,1.222,1.351,7.387
29.25,26.79,29.4,14.56,2.825,29.369,1.292,1.966,5.895
30.14,25.65,30.13,14.08,2.672,27.416,1.181,1.909,6.548
29.68,26.51,31.42,12.39,2.583,26.287,0.938,2.029,7.067
29.91,26.27,29.83,13.99,2.612,27.375,0.966,2.113,7.193
29.84,27.04,29.79,13.33,2.541,27.515,0.943,2.122,7.251
29.68,25.65,31.94,12.73,2.615,25.986,0.937,2.042,6.8
29.07,24.99,33.34,12.6,2.735,25.39,0.926,1.993,6.544
29.22,26.24,29.79,14.75,2.688,27.939,0.973,2.164,7.221
28.86,26.79,29.87,14.48,2.675,28.225,1.015,2.327,7.03
29.53,26.65,28.75,15.07,2.744,28.57,1.02,2.17,7.221
30.02,26.77,28.25,14.96,2.696,28.672,1.008,2.191,7.157
29.75,24.52,33.06,12.67,2.734,25.075,0.903,1.966,6.508
29.24,26.42,30.71,13.63,2.792,27.382,0.977,2.133,6.767
29.51,26.4,30.91,13.18,2.519,26.846,0.986,2.116,7.111
28.78,26.39,31.3,13.53,2.529,26.871,0.981,2.132,7.408
31.68,28.67,23.33,16.32,2.589,31.517,1.454,1.633,7.802
32.81,28.08,22.13,16.98,2.669,31.613,1.369,1.478,7.93
32.09,28.67,25.05,14.19,2.891,29.82,1.262,1.321,7.571
32.16,29.36,22.97,15.51,2.347,30.59,1.261,1.367,9.308
30.04,25.22,31.22,13.52,2.709,26.163,0.938,2.062,6.87
29.05,26.79,30.28,13.88,2.73,27.524,0.958,2.124,7.33
29.36,27.19,29.63,13.82,2.735,28.017,0.993,2.149,7.118
28.95,25.53,32.67,12.85,2.562,25.886,0.926,2.053,6.951
29.93,26.05,29.16,14.86,2.585,28.026,1.011,2.191,7.096
28.95,26.41,29.86,14.78,2.713,28.028,1.021,2.164,7.265
29.79,26.56,29.54,14.11,2.801,27.643,0.954,2.166,7.104
30.33,27.32,28.2,14.15,2.619,26.932,0.904,2.042,8.975
30.38,26.43,30.02,13.17,2.323,26.559,0.929,2.097,7.691
29.73,26.48,29.3,14.49,2.369,27.702,0.979,2.196,7.725
30.66,24.83,30.81,13.7,2.837,26.162,0.893,2.065,6.57
31.52,26.41,26.11,15.96,2.829,29.191,0.987,2.226,7.136
31.12,25.89,28.32,14.67,2.754,27.802,0.977,2.15,6.881
31.96,25.28,28.51,14.25,2.73,27.026,0.897,2.083,6.796
30.26,26.12,29.48,14.14,2.667,27.563,1.064,2.106,6.864
30.96,27.1,28.85,13.09,2.884,27.487,1.02,2.071,6.725
30.29,27.47,25.95,16.29,2.859,30.393,1.148,2.25,7.108
30.75,27.27,25.85,16.13,2.903,30.135,1.143,2.242,6.973
30.22,25.37,29.03,15.38,2.783,28.115,1.079,2.163,6.607
32.82,28.08,21.44,17.66,2.06,31.831,1.21,2.252,8.39
29.26,26.87,28.74,15.13,2.703,29.133,1.118,2.171,6.876
29.82,25.4,28.06,16.72,2.91,28.99,0.958,2.296,6.97
29.72,25.44,27.92,16.92,2.886,29.145,0.952,2.287,7.091
29.25,25.06,31.22,14.47,2.859,26.997,0.882,2.119,6.674
29.66,25.18,30.21,14.95,2.905,27.573,0.875,2.196,6.582
29.7,25.22,30.04,15.04,2.942,27.683,0.881,2.195,6.557
29.39,24.95,32.2,13.46,2.906,25.922,1.025,2.037,6.516
29.88,24.69,31.06,14.37,2.721,26.737,1.062,2.06,6.477
28.88,26.07,29.59,15.46,2.96,28.776,1.061,2.202,6.527
29.21,27.32,26,17.47,3.08,31.548,1.144,2.35,6.669
29.18,26.65,27.74,16.43,3.019,30.055,1.099,2.28,6.632
29.38,24.89,31.6,14.13,2.795,26.579,1.038,2.12,6.485
32.2,28.4,21.17,18.23,2.096,32.418,1.248,2.284,8.586
30.9,27.24,27.07,14.79,2.706,29.003,1.064,2.162,7.096
29.3,27.15,26.24,17.31,2.761,30.774,1.202,2.325,7.4
28.79,27.28,29.56,14.37,2.615,28.549,1.087,2.151,7.251
28.3,27.48,30.1,14.12,2.643,28.557,1.081,2.2,7.116
29.81,26.03,28.57,15.59,2.829,28.814,1.133,2.182,6.664
31.78,28.4,21.47,18.35,2.109,32.584,1.209,2.263,8.583
29.23,26.41,28.93,15.43,2.812,29.107,1.135,2.211,6.575
28.34,25.58,30.72,15.36,2.487,28.041,1.094,2.224,7.095
29.9,29.28,20.94,19.88,2.146,33.668,1.232,2.38,9.732
29.89,26,31.68,12.43,3.017,26.345,0.994,2.078,5.993
27.99,27.12,29.89,15,2.768,29.105,1.128,2.242,6.881
28.14,26.97,29.62,15.27,2.702,28.999,1.132,2.22,7.185
29.79,27.47,27.38,15.36,3.052,29.416,1.056,2.113,7.196
27.54,27.2,31.22,14.04,2.719,28.074,1.051,2.152,7.246
27.64,26.99,30.51,14.86,2.792,28.521,1.063,2.201,7.278
29.04,25.43,31.33,14.2,2.551,27.296,1.009,2.034,6.744
29.09,26.77,30.02,14.12,2.679,28.202,1.012,2.107,6.895
29.36,26.69,28.59,15.36,2.617,28.827,1.033,2.129,7.443
27.82,27.2,29.64,15.34,3.476,29.07,1.031,2.245,6.717
28.41,26.97,28.29,16.33,2.785,29.8,1.079,2.281,7.352
27.32,27.01,29.78,15.89,2.83,29.453,1.143,2.121,7.354
28.96,26.94,30.56,13.54,2.554,27.552,1.032,1.989,7.353
28.88,27.5,27.5,16.12,2.999,30.238,1.084,2.275,7.028
27.99,28,28.23,15.78,3.14,30.483,1.1,2.337,6.716
25.63,30.2,28.44,15.73,2.957,31.625,1.092,2.383,7.869
28.02,28.1,27.6,16.28,2.829,30.731,1.1,2.356,7.362
