p_ar_mois,p_ar_vol,p_ar_ash,p_ar_fc,p_ar_sul,u_ar_car,u_ar_nit,u_ar_hyd_exc,u_ar_oxy_exc
31.14,26.59,24.99,17.28,2.881,30.575,1.098,2.036,7.278
32.99,26.66,20.07,20.28,3.009,33.355,1.19,2.157,7.233
32.67,26.82,17.68,22.83,2.79,34.828,1.279,2.284,8.471
33.69,26.98,17.58,21.75,3.3,34.25,1.292,2.144,7.748
32.53,26.39,19.47,21.61,2.752,33.68,1.241,2.187,8.136
33.23,26.43,21.62,18.72,2.909,31.402,1.093,2.085,7.664
33.26,25.99,22.23,18.52,2.801,31.095,1.082,2.14,7.389
33.43,26.35,21.39,18.83,2.692,31.411,1.129,2.142,7.806
32.44,25.86,23.75,17.95,2.749,30.305,1.064,2.03,7.658
30.65,24.7,26.42,18.23,3.042,30.025,1.086,2.111,6.67
29.75,23.52,29.38,17.35,2.36,28.65,1.078,2.14,6.644
30.69,24.37,25.05,19.89,2.499,32.25,1.179,2.282,6.054
30.03,23.87,28.4,17.7,2.435,29.636,1.1,2.127,6.27
33.16,26.34,23.38,17.12,2.253,31.57,1.144,1.899,6.597
33.4,25.91,23.18,17.51,2.332,31.124,1.137,1.996,6.832
33.99,26.13,22.83,17.05,2.467,31.453,1.141,1.945,6.177
33.44,25.84,22.09,18.63,2.462,32.288,1.178,1.86,6.684
33.57,25.45,20.32,20.66,2.427,34.028,1.266,2.302,6.085
33.71,25.57,20.29,20.43,2.308,33.826,1.265,2.208,6.39
28.72,28.88,18.47,23.93,2.394,39.408,1.488,2.486,7.036
33.76,25.1,19.76,21.38,2.778,32.457,1.182,2.152,7.914
33.37,25.66,22.15,18.82,2.558,30.749,1.089,2.129,7.949
32.49,25.54,25.02,16.95,2.622,29.691,1.038,2.013,7.123
31.14,26.18,22.63,20.05,2.917,32.136,1.156,2.326,7.691
31.8,26.43,21.8,19.97,2.935,32.075,1.148,2.307,7.932
31.7,26.34,21.89,20.07,3.054,32.553,1.153,2.317,7.336
31.9,26.16,22.41,19.53,2.781,31.756,1.219,2.231,7.704
31.06,26.14,23.54,19.26,2.83,31.719,1.134,2.317,7.402
31.09,26.11,24.75,18.05,2.82,30.431,1.21,2.147,7.557
31.64,26.16,22.33,19.87,3.134,32.263,1.134,2.309,7.193
31.64,26.06,23.02,19.28,3.11,31.295,1.278,2.102,7.558
30.66,25,26.35,17.99,2.902,30.212,1.05,2.129,6.693
31.22,25.53,22.67,20.58,2.941,32.772,1.158,2.315,6.926
30.73,25.37,23.83,20.07,2.883,31.926,1.149,2.258,7.222
33.82,23.57,26.48,16.13,2.755,27.324,1.139,1.64,6.842
34.03,25.71,20.3,19.96,2.545,31.633,1.298,1.897,8.295
32.93,25.96,21.91,19.2,2.661,31.442,1.291,1.894,7.875
33.05,25.74,22.34,18.87,2.638,31.052,1.278,1.929,7.713
31.73,23.29,26.48,18.5,2.673,28.867,1.028,1.914,7.304
30.03,23.65,27.93,18.39,2.919,28.679,1.037,1.944,7.465
31.84,25.16,23.5,19.5,2.754,30.871,1.207,2.066,7.767
32.04,25.17,23.02,19.77,2.695,31.287,1.241,2.116,7.6
33.18,26.11,23.86,16.85,2.402,29.5,0.97,1.925,8.163
32.19,26.19,23.28,18.34,2.848,30.618,1.131,2.061,7.87
33.41,24.68,23.71,18.2,3.006,29.907,1.142,2.002,6.822
33.15,24.15,24.86,17.84,2.802,28.74,1.044,1.99,7.415
33.32,24.67,22.29,19.72,2.711,30.964,1.24,2.063,7.416
32.84,23.93,26.63,16.6,2.565,27.806,1.046,1.882,7.231
32.26,24.67,23.91,19.16,2.613,30.361,1.179,1.973,7.701
