p_mois,p_vol,p_ash,p_car,p_sul,u_car
10.14,34.39,29.35,26.12,4.12,42.41
10.66,34.055,30.08,25.205,4.065,40.9
8.24,33.085,34.875,23.8,3.84,39.98
7.97,34.165,30.33,27.535,3.935,43.85
8.33,33.57,31.54,26.56,3.815,42.25
14.6,30.42,34.17,20.81,3.555,35.26
14.6,33.28,26.28,25.84,3.295,40.95
14.29,33.17,27.995,24.545,3.4,40.18
13.585,33.22,28.835,24.36,3.405,40.08
11.645,30.14,34.275,23.94,3.46,37.36
10.95,30.105,35.54,23.405,3.715,36.5
10.78,32.935,30.755,25.53,3.605,40.41
10.225,33.255,30.41,26.11,3.56,41.33
12.5,34.195,31.245,22.06,3.145,38.63
11.3,34.255,30.455,23.99,3.725,40.05
11.405,32.83,31.545,24.22,4,39.79
11.61,31.925,32.87,23.595,3.705,38
11.815,32.62,29.475,26.09,3.585,40.95
12.01,31.35,34.89,21.75,3.36,36.43
12.65,31.815,30.835,24.7,3.37,39.15
13.13,31.09,31.44,24.34,3.615,38.28
10.54,33.935,31.905,23.62,4.64,40.29
10.5,33.995,31.655,23.85,4.705,40.61
10.41,34.935,32.695,21.96,4.395,39.3
10.755,34.385,32.185,22.675,4.705,40.02
14.665,32.975,32.465,19.895,3.595,36.23
14.37,31.105,35.74,18.785,3.21,33.91
9.995,34.61,31.485,23.91,3.7,40.5
11.225,34.61,30.835,23.33,3.76,40.38
7.76,29.85,44.845,17.545,3.205,35.03
8.84,30.64,38.8,21.72,3.64,35.98
8.7,29.88,39.815,21.605,3.59,35.55
7.8,30.305,38.045,23.85,4.435,39.34
9.785,30.9,32.89,26.425,3.965,39.13
8.06,30.445,40.3,21.195,3.81,36.4
10.295,31.25,33.095,25.36,3.605,38.51
8.35,31.085,38.235,22.33,3.78,38.83
12.065,29.88,37.205,20.85,3.41,35.67
10.645,30.055,33.725,25.575,3.965,38.41
11.09,30.71,34.59,23.61,3.715,37.09
11.435,30.795,34.11,23.66,3.53,37.09
11.33,31.755,32.265,24.65,3.72,38.57
10.025,30.875,36.415,22.685,3.455,38.61
8.405,28.92,42.955,19.72,3.965,32.44
10.84,31.73,32.645,24.785,3.485,47.65
12.9,34.54,29.55,23.01,3.605,40.37
13.27,34.92,29.015,22.795,4.24,40.41
13.475,35.1,29.65,21.775,3.66,39.3
15.63,33.27,25.93,25.17,3.78,40.92
15.63,34.465,23.98,25.925,3.805,42.92
15.395,33.61,25.455,25.54,3.79,41.35
13.055,32.295,32.155,22.495,3.54,37.73
11.665,36.12,31.99,20.225,4.235,38.96
15.985,32.86,30.295,20.86,3.84,37.7
15.42,34.145,29.325,21.11,4.815,38.46
16.4,32.49,29.65,21.46,3.84,37.55
15.65,32.91,29.835,21.605,3.84,38.06
12.645,32.68,33.495,21.18,3.85,37.35
11.42,31.4,39.455,17.725,4.46,33.14
12.46,33.395,32.23,21.915,3.98,38.24
13.01,33.595,31.665,21.73,3.97,38.59
17.445,30.51,34.735,17.31,3.43,33.24
14.56,29.965,37.63,17.845,3.615,33.04
17.99,32.105,30.91,18.995,3.525,35.66
17.075,31.765,32.37,18.79,3.47,34.98
13.905,30.84,36.81,18.445,3.585,34
15.7,33.82,31.38,19.1,4.305,37.22
15.545,31.015,34.495,18.945,3.75,34.57
16.52,31.13,34.235,18.115,3.565,33.97
14.17,30.305,37.235,18.29,3.64,33.33
14.84,31.21,36.515,17.435,3.925,33.56
13.325,31.17,36.685,18.82,3.78,37.97
15.33,30.325,36.41,17.935,3.5,33.38
15.365,29.605,37.155,17.875,3.58,32.68
15.285,32.405,33.14,19.17,3.55,35.67
16.405,33.07,28.89,21.635,3.65,38.69
15.29,30.985,35.14,18.585,3.475,34.46
15.495,31.97,34.125,18.41,3.535,35.02
15.305,31.18,33.265,20.25,3.68,36.65
14.64,32.265,34.07,19.025,3.492,36.65
16.73,34.03,29.005,20.235,3.994,38.01
13.565,32.965,32.175,21.295,3.458,37.81
15.775,30.765,34.31,19.15,3.54,37.07
17.595,32.16,34.38,15.865,3.953,33.46
17.245,30.57,32.165,20.02,3.539,34.94
13.92,31.935,35.995,18.15,3.39,34.58
14.575,31.65,34.08,19.695,3.55,35.94
13.9,34.345,34.51,17.245,4.298,36.05
14.635,30.895,33.99,20.48,3.471,35.36
13.845,30.635,36.94,18.58,3.342,33.9
12.625,28.845,40.765,17.765,3.135,31.66
14.16,30.48,34.965,20.395,3.37,35.07
14.06,34.32,34.04,17.58,4.033,35.52
13.165,31.995,34.18,20.66,3.493,36.04
18.19,30.22,33.3,18.29,3.295,33.8
21.03,32.63,28.175,18.165,3.81,35.77
18.85,30.355,31.57,19.225,3.21,34.3
15.31,32.545,32.21,19.935,3.36,35.85
17.45,34.28,27.035,21.235,3.95,38.92
14.845,30.725,35.19,19.24,3.545,34.64
14.31,31.09,35.6,19,3.465,34.37
15.23,30.815,35.565,18.39,3.515,34.14
14.865,32.36,35.095,17.68,3.779,34.34
13.325,30.935,39.21,16.53,3.664,32.66
12.205,30.895,39.59,17.31,3.689,33.04
15.55,32.395,35.49,16.565,3.788,33.35
17.065,32.37,34.08,16.485,4.292,33.96
17.26,30.81,33.135,18.795,3.693,34.5
16.395,30.715,34.42,18.47,3.661,34.13
16.385,30.68,34.235,18.7,3.611,34.63
19,30.525,33.52,16.955,3.343,33.01
18.48,32.595,35.285,13.64,3.828,31.97
17.76,30.34,34.575,17.325,3.442,33.11
18.075,30.55,34.435,16.94,3.468,33.11
16.825,30.525,33.855,18.795,3.151,33.91
17.98,30.525,32.15,19.345,3.354,34.62
16.085,30.795,34.36,18.76,3.365,34.16
14.26,30.43,37.4,17.91,3.54,33.08
15.005,31.86,33.61,19.525,3.186,35.67
16.165,31.22,32.75,19.865,3.231,35.43
18.45,31.975,32.475,17.1,3.645,33.97
19.08,29.99,34.92,16.01,3.685,31.79
17.825,30.97,32.035,19.17,3.505,36.53
19.035,30.44,31.45,19.075,3.49,34.22
17.145,28.545,37.3,17.01,3.301,30.85
19.785,30.895,32.795,16.525,4.28,32.88
18.37,28.915,35.38,17.335,3.231,31.52
18.05,28.85,35.505,17.595,3.154,31.84
17.54,31,32.83,18.63,3.533,34.88
17.775,30.145,34.605,17.475,3.427,33.06
20.225,30.62,30.58,18.575,3.955,34.23
18.29,31.035,31.915,18.76,3.59,35.12
20.645,32.64,26.005,20.71,3.041,37.04
21.04,32.085,25.645,21.23,3.555,37.71
22.15,29.965,28.52,19.365,3.134,34.62
22.38,32.69,25.095,19.835,3.18,36.5
19.055,31.27,30.87,18.805,3.445,34.77
17.495,29.89,35.105,17.51,3.4,32.64
20.125,32.69,29.225,17.96,4.197,35.6
17.32,29.59,34.085,19.005,3.218,33.55
16.325,32.19,32.24,19.245,3.534,35.77
16.34,30.585,35.44,17.635,3.5,33.14
16.745,31.13,32.745,19.38,3.335,35.14
18.48,33.305,30.36,17.855,4.02,35.83
20.145,33.175,31.24,15.44,3.941,33.89
21.045,33.14,29.705,16.11,3.972,34.51
21.815,33.215,28.245,16.725,4.038,35.05
20.14,32.535,28.845,18.48,4.193,36.12
19.625,30.43,30.815,19.13,3.15,34.36
18.445,31.5,33.15,16.905,4.041,33.4
20.74,30.4,30.26,18.6,3.247,34.01
18.85,31.04,30.235,19.875,3.252,35.33
20.33,30.52,29.785,19.365,3.401,34.68
18.395,30.295,33.095,18.215,3.239,33.5
17.735,30.195,33.955,18.115,3.217,33.24
20.24,29.725,30.68,19.355,3.554,34.59
19.22,30.55,30.915,19.315,3.3,34.63
16.685,33.945,32.58,16.79,4.016,35.33
18.335,29.185,34.97,17.51,3.189,32.17
18.99,29.875,34.62,16.515,3.572,32.03
20.95,30.705,29.66,18.685,3.322,34.5
18.925,31.08,31.13,18.865,3.431,34.98
19.25,29.735,33.275,17.74,3.182,32.97
20.515,33.195,27.32,18.97,4.001,36.66
17.21,31.145,31.93,19.715,3.289,35.34
18.055,30.605,31.625,19.715,3.288,35.23
16.89,33.31,26.475,23.325,3.46,39.675
17.995,31.095,33.425,17.485,3.37,33.425
20.75,34.115,24.13,21.005,3.85,39.17
21.6,31.28,26.4,20.72,3.257,36.51
22.31,30.735,29.38,17.575,3.193,35.52
22.885,30.815,28.085,18.215,3.191,34.035
23.13,30.71,28.42,17.74,3.251,33.86
20.115,31.46,31.335,17.09,4.405,33.9
20.745,32.815,27.27,19.17,4.165,36.43
21.515,32.65,26.285,19.55,4.275,36.68
20.295,32.285,30.85,16.57,3.93,34.07
15.86,32.285,34.23,17.625,3.966,34.16
16.3,31.775,30.61,21.315,3.709,36.415
15.55,32.835,30.365,21.25,3.695,36.865
14.555,33.05,32.29,20.105,3.892,36.05
16.63,32.21,33.08,18.08,4.07,34.34
14.705,32.895,31.31,21.09,3.805,36.715
15.615,33.015,31,20.37,3.71,36.61
15.245,30.71,38.025,16.02,3.961,31.07
17.23,32.49,30.545,19.735,3.518,35.405
18.065,32.58,29.44,19.915,3.419,35.33
17.08,32.505,31.65,18.765,3.333,34.615
14.91,30.215,37.735,17.14,3.791,31.52
15.9,32.84,31.26,20,3.535,35.72
15.995,32.945,31.02,20.04,3.561,36.29
15.055,32.105,35.54,17.3,3.36,33.72
13.84,32.12,36,18.04,3.547,34.51
17.595,31.295,33.32,17.79,3.448,33.88
15.585,33.57,30.645,20.2,3.389,37.22
15.54,34.435,33.1,16.925,4.06,34.735
16.02,31.61,33.115,19.255,3.46,34.19
17.15,31.845,31.58,19.425,3.45,35.025
16.675,30.23,35.205,17.89,3.415,32.215
16.13,33.59,35.79,14.49,4.117,32.93
15.895,31.94,31.735,20.43,3.515,39.26
17.19,31.71,31.81,19.29,3.501,37.98
18.02,31.23,32.025,18.725,3.462,37.775
18.83,33.05,31.28,16.84,4.075,32.925
18.905,30.49,31.645,18.96,3.35,33.32
