p_ar_mois,p_ar_vol,p_ar_ash,p_ar_fc,p_ar_sul,p_ar_hhv,p_ar_lhv,u_ar_oxy_inc
31.14,26.18,22.63,20.05,2.917,3075.835,2784.133,35.346
31.8,26.43,21.8,19.97,2.935,3091.877,2797.45,36.174
31.7,26.34,21.89,20.07,3.054,3106.797,2812.783,35.489
31.9,26.16,22.41,19.53,2.781,3055.477,2760.637,36.035
31.06,26.14,23.54,19.26,2.83,3020.582,2729.21,34.986
31.09,26.11,24.75,18.05,2.82,2927.286,2635.79,35.168
31.64,26.16,22.33,19.87,3.134,3063.069,2769.303,35.292
31.64,26.06,23.02,19.28,3.11,3001.989,2708.223,35.658
30.66,25,26.35,17.99,2.902,2806.945,2517.224,33.922
31.22,25.53,22.67,20.58,2.941,3082.713,2790.68,34.652
30.73,25.37,23.83,20.07,2.883,3004.186,2714.176,34.513
33.82,23.57,26.48,16.13,2.755,2566.63,2263.865,36.877
34.03,25.71,20.3,19.96,2.545,3002.604,2698.972,38.518
32.93,25.96,21.91,19.2,2.661,2957.13,2658.039,37.12
33.05,25.74,22.34,18.87,2.638,2924.027,2624.44,37.064
31.73,23.29,26.48,18.5,2.673,2748.171,2454.033,35.484
30.03,23.65,27.93,18.39,2.919,2718.555,2431.435,34.134
31.84,25.16,23.5,19.5,2.754,2916.833,2622.24,36.044
32.04,25.17,23.02,19.77,2.695,2974.846,2679.429,36.054
33.18,26.11,23.86,16.85,2.402,2776.681,2476.557,37.63
32.19,26.19,23.28,18.34,2.848,2904.662,2608.625,36.458
33.41,24.68,23.71,18.2,3.006,2829.836,2528.764,36.493
33.15,24.15,24.86,17.84,2.802,2697.638,2397.639,36.855
33.32,24.67,22.29,19.72,2.711,2941.516,2640.814,37.007
32.84,23.93,26.63,16.6,2.565,2627.017,2328.297,36.396
32.26,24.67,23.91,19.16,2.613,2870.142,2573.816,36.351
32.62,24.11,24.39,18.88,2.804,2817.938,2520.126,36.412
34.18,24.97,23.47,17.38,3.414,2822.212,2517.96,36.524
34.31,24.95,23.23,17.51,3.453,2836.403,2531.615,36.471
34.08,25.71,24.06,16.15,3.234,2717.898,2414.059,36.863
35.13,24.99,23.39,16.49,3.42,2747.978,2439.805,37.056
34.21,25.42,25.03,15.34,2.772,2582.57,2278.195,37.626
33.02,24.33,27.96,14.69,2.511,2460.593,2161.13,36.621
33.97,25.39,23.1,17.54,2.714,2765.565,2462.181,37.533
33.95,25.75,22.94,17.36,2.797,2808.645,2505.343,37.246
28.74,23.06,34.64,13.56,2.476,2303.002,2021.207,29.779
29.89,23.56,29.84,16.71,2.799,2636.786,2350.243,33.274
29.74,22.99,30.64,16.63,2.763,2591.439,2305.516,32.921
28.43,23.52,29.53,18.52,3.443,2710.455,2429.939,30.242
30.24,23.89,25.43,20.44,3.066,2883.68,2595.692,34.662
27.75,23.92,31.67,16.66,2.994,2579.572,2301.863,30.658
30.47,24.22,25.65,19.66,2.794,2859.386,2570.449,35.173
28.81,24.15,29.7,17.34,2.936,2650.783,2368.698,30.953
31.31,23.34,29.06,16.29,2.664,2543.518,2251.114,34.22
31.03,23.2,26.03,19.74,3.06,2898.802,2607.553,34.525
30.67,23.95,26.97,18.41,2.897,2755.205,2465.443,34.721
31.05,23.97,26.56,18.42,2.748,2763.847,2472.516,35.263
31.24,24.62,25.02,19.12,2.885,2868.78,2576.664,35.548
31.45,23.52,27.74,17.29,2.632,2677.772,2384.79,33.879
28.54,22.56,33.51,15.39,3.093,2413.218,2132.248,31.967
31.61,27.12,23.2,18.07,2.831,2973.805,2680.162,35.735
32.39,27.22,22.62,17.77,3.305,2987.928,2691.066,35.945
32.05,27.56,23.28,17.11,2.874,2908.36,2612.901,36.492
32.75,26.52,20.67,20.06,3.013,3093.697,2795.349,37.119
33.35,27.23,18.94,20.48,3.006,3215.812,2914.987,37.41
32.91,26.65,20.19,20.25,3.005,3142.525,2843.516,37.365
31.87,25.31,25.2,17.62,2.774,2796.49,2501.775,36.054
31.99,27.81,24.63,15.57,3.261,2823.241,2528.03,35.613
30.85,27.05,24.93,17.17,3.161,2862.692,2572.186,34.582
31.78,27.54,23.65,17.03,3.884,2959.429,2665.084,35.205
30.83,26.88,24.53,17.76,3.177,2932.839,2642.416,35.029
30.32,27.19,24.65,17.84,3.172,2962.889,2674.571,34.615
28.98,26.57,27.23,17.22,3.13,2884.739,2601.953,33.107
26.78,25.96,32.61,14.65,3.687,2601.188,2327.483,30.646
29.54,26.88,25.94,17.64,3.203,2937.39,2652.292,33.86
29.74,27.13,25.58,17.55,3.206,2970.413,2684.49,33.851
29.26,26.14,29.76,14.84,2.939,2639.566,2355.624,33.014
27.23,25.52,32.05,15.2,3.079,2632.241,2356.678,31.043
30.45,27.23,26.21,16.11,2.989,2830.489,2541.635,34.504
29.96,26.83,27.34,15.87,2.931,2763.93,2477.098,34.349
30.44,24.92,29.74,14.9,2.896,2543.519,2254.706,33.841
32.48,27.09,25.13,15.3,3.448,2775.811,2478.577,35.391
30.69,25.45,28.31,15.55,3.078,2677.089,2387.244,34.01
31.62,25.5,28.04,14.84,2.92,2605.901,2312.217,35.248
30.29,24.61,30.24,14.86,2.956,2548.652,2260.458,33.797
31.08,25.26,29.55,14.11,3.177,2544.77,2253.315,34.198
30.3,25.07,29.5,15.13,3.04,2644.633,2356.398,30.963
31.47,24.54,29.47,14.52,2.833,2509.601,2216.536,34.719
29.64,24.61,30.89,14.86,2.976,2522.977,2237.466,33.148
31.76,26.1,26.7,15.44,2.86,2721.26,2426.998,35.581
30.61,27.45,23.98,17.96,3.03,3040.459,2750.945,34.365
29.62,25.74,29.2,15.44,2.887,2686.989,2401.561,33.489
29.8,26.56,28.35,15.29,2.937,2720.603,2434.432,33.65
32.25,24.94,26.61,16.2,2.944,2672.631,2376.346,35.003
28.91,26.87,28.37,15.85,2.908,2756.539,2474.042,32.284
31.59,27.96,23.83,16.62,3.282,2917.094,2623.533,35.279
29.57,26.86,26.22,17.35,2.818,2870.004,2584.782,33.823
29.33,25.81,28.79,16.07,2.971,2751.43,2467.198,31.443
29.8,27.4,29.29,13.51,3.367,2589.954,2303.783,33.102
30.01,25.85,27.2,16.94,2.993,2782.471,2495.433,34.315
29.84,26.03,29.34,14.79,2.763,2628.273,2341.936,33.667
28.74,26.4,28.43,16.43,2.961,2815.695,2533.9,32.803
28.55,28.5,28.64,14.31,3.566,2729.499,2448.488,31.934
28.92,25.73,28.3,17.05,2.89,2802.389,2519.85,33.404
29.87,24.94,30.07,15.12,2.72,2582.683,2296.223,33.587
28.49,23.61,33.36,14.54,2.566,2431.391,2150.627,32.486
29.51,25.03,28.71,16.75,2.767,2726.41,2441.436,33.647
31.29,27.44,27.22,14.05,3.225,2616.826,2324.504,35.104
28.57,26.32,28.12,16.99,2.873,2832.811,2551.717,33.398
30.19,25.79,28.42,15.6,2.812,2661.036,2373.255,34.296
31.54,28.29,24.43,15.74,3.303,2845.786,2552.433,35.595
29.06,26.54,27.6,16.8,2.806,2826.126,2543.009,34.139
29.45,27.11,26.83,16.61,2.799,2818.917,2534.19,34.538
32.54,28.01,22.09,17.36,3.228,2974.678,2677.197,36.644
28.48,25.81,29.56,16.15,2.977,2745.537,2464.814,32.542
27.91,26.16,29.95,15.98,2.915,2711.36,2432.99,32.54
29.35,25.68,29.64,15.33,2.93,2647.985,2363.672,33.203
28.81,27.06,29.35,14.78,3.16,2652.709,2370.625,32.973
27.54,25.86,32.78,13.82,3.063,2529.224,2252.382,31.282
27.3,25.58,32.78,14.34,3.055,2546.268,2270.416,31.202
30.16,26.79,29.35,13.7,3.132,2552.339,2264.681,34.114
31.71,26.65,28.06,13.58,3.534,2592.129,2298.073,34.71
29.27,26.34,28.33,16.06,3.157,2784.722,2500.738,33.392
28.54,26.25,29.42,15.79,3.129,2717.44,2436.47,32.457
28.88,26.1,29.12,15.9,3.072,2733.408,2451.035,32.761
27.2,27.43,30.13,15.24,3.005,2755.948,2480.509,31.493
27.56,28.96,31.35,12.13,3.402,2707.333,2430.408,31.243
26.16,27.24,31.04,15.56,3.091,2770.045,2498.899,30.712
26.2,27.52,31.02,15.26,3.124,2776.134,2504.823,30.569
29.92,25.72,28.52,15.84,2.655,2706.926,2420.26,34.367
29.79,26.13,27.52,16.56,2.871,2804.516,2518.386,33.988
28.99,26.06,29.08,15.87,2.847,2741.906,2459.078,33.362
25.27,26.52,32.6,15.61,3.085,2748.318,2480.846,29.891
26.6,27.51,29.02,16.87,2.752,2890.565,2617.603,31.644
26.46,27.39,28.73,17.42,2.834,2977.285,2704.901,31.668
29.74,27.55,27.98,14.73,3.14,2755.381,2469.458,33.963
29.37,26.18,30.48,13.97,3.216,2630.106,2345.71,33.058
29.09,26.72,27.64,16.55,3.025,2894.603,2611.363,32.047
30,26.32,27.19,16.49,3.017,2856.19,2569.193,34.541
27.39,25.02,32.69,14.9,2.893,2555.695,2279.473,32.065
29.17,27.28,28.96,14.59,3.779,2714.442,2430.871,32.894
28.55,25.31,30.97,15.17,2.828,2634.762,2353.75,33.228
29.06,24.97,30.73,15.24,2.73,2617.21,2334.093,33.487
26.8,27.52,29.14,16.54,3.136,2898.9,2625.112,31.098
27.51,26.58,30.51,15.4,3.022,2688.774,2412.056,31.566
29.56,27.04,27,16.4,3.492,2812.313,2527.132,33.416
27.8,27.42,28.2,16.58,3.172,2860.187,2582.272,31.53
31.3,28.26,22.51,17.93,2.633,3031.77,2739.407,36.714
32.16,27.57,22.03,18.24,3.054,3116.739,2820.826,36.383
32.63,25.93,24.68,16.76,2.712,2854.735,2556.882,36.979
33.63,27.95,21.46,16.96,2.719,2955.062,2653.081,38.921
28.67,27.56,27.2,16.57,3.036,2937.678,2656.171,33.545
27.89,26.12,30.68,15.31,2.972,2728.592,2450.305,32.292
30.06,28.62,25.59,15.73,3.675,2978.131,2690.886,33.933
27.56,25.93,29.86,16.65,2.819,2804.07,2527.145,31.77
30.66,26.68,26.72,15.94,2.928,2826.995,2537.274,34.735
28.85,26.01,30.14,15,2.977,2670.634,2388.384,32.679
28.64,26.68,28.07,16.61,2.859,2865.082,2583.7,32.874
30.12,28.55,26.02,15.31,3.446,2904.663,2617.171,33.888
32.28,28.13,26.49,13.1,3.342,2598.342,2301.933,35.858
32.5,28.33,25.4,13.77,3.395,2702.047,2404.73,36.09
32.24,28.79,24.48,14.49,3.499,2801.029,2504.786,35.542
32.22,27.61,24.48,15.69,3.559,2851.944,2555.783,35.172
28.11,27.22,27.56,17.11,2.817,2896.126,2616.931,33.261
27.52,27.99,29.46,15.03,3.591,2805.473,2528.713,31.842
27.24,27.91,27.78,17.07,2.981,2960.228,2684.624,32.668
27.88,27.59,26.87,17.66,2.891,2978.107,2699.862,33.241
30.36,26.68,26.04,16.92,2.973,2826.252,2537.769,34.593
28.11,26.69,29.16,16.04,2.853,2793.489,2514.294,33.139
27.58,26.58,29.89,15.95,2.832,2764.718,2487.711,32.714
30.69,25.83,26.66,16.82,3.088,2826.15,2536.305,34.191
30.36,26.34,26.65,16.65,2.845,2811.715,2523.232,35.071
30.75,28.21,27.08,13.96,3.338,2786.835,2496.742,34.404
29.12,25.33,30.35,15.2,2.768,2649.06,2365.696,33.306
28.76,26.27,30.44,14.53,3.142,2654.124,2372.246,33.037
30.56,26.97,26.05,16.42,2.918,2872.133,2582.825,35.303
30.17,26.77,26.81,16.25,2.955,2842.472,2554.774,34.487
28.67,26.27,29.39,15.67,2.811,2732.312,2450.806,33.224
30.7,28.94,23.82,16.54,3.488,3013.124,2723.237,35.137
28.24,27,27.68,17.08,2.851,2906.961,2627.23,33.285
28.58,26.67,27.56,17.19,2.866,2905.216,2624.08,33.359
29.95,28.08,22.31,19.66,2.916,3196.687,2909.897,35.103
30.57,26.33,28.3,14.8,2.853,2673.698,2384.349,34.876
31.12,29.65,20.97,18.26,3.346,3199.631,2908.011,35.739
31.83,27.2,22.96,18.01,2.832,3021.632,2727.081,36.472
32.57,26.68,25.5,15.25,2.771,2705.615,2408.01,35.23
32.33,27.04,24.65,15.98,2.8,2765.568,2468.953,36.959
34.24,26.27,24.31,15.18,2.781,2675.597,2371.098,38.039
30.13,27.52,27.41,14.94,3.853,2815.412,2527.878,33.512
31.44,28.39,23.59,16.58,3.603,3023.225,2730.284,35.407
31.27,28.59,23.02,17.12,3.744,3091.636,2799.396,35.314
30.97,27.96,26.72,14.35,3.404,2779.16,2488.159,34.822
30.25,26.76,28.38,14.61,3.288,2643.115,2355.086,34.063
31.61,25.96,25.01,17.42,3.031,2834.628,2540.985,35.935
31.68,26.56,24.57,17.19,2.989,2871.369,2577.438,36.294
31.31,26.57,25.96,16.16,3.129,2799.804,2507.4,35.615
31.6,26.43,27.14,14.83,3.339,2706.057,2412.455,35.33
30.39,26.85,25.55,17.21,3.105,2931.543,2642.936,35.219
32.27,26.5,24.88,16.35,2.978,2854.351,2557.984,36.463
29.86,25.41,31.47,13.26,3.278,2506.217,2219.799,33.944
31.56,26.86,25.26,16.32,2.909,2854.886,2561.45,36.606
31.52,27.23,24.61,16.64,2.858,2902.016,2608.745,37.116
31.16,26.99,26.28,15.57,2.767,2791.305,2499.52,36.373
29.59,25,31.22,14.19,3.137,2535.516,2250.212,33.903
31.4,26.79,25.5,16.31,2.884,2835.357,2542.582,36.46
31.37,26.92,25.34,16.37,2.909,2847.172,2554.52,36.055
31.58,25.86,28.63,13.93,2.706,2561.562,2268.043,35.368
31.88,25.39,28.46,14.27,2.804,2576.594,2281.837,35.158
32.96,25.46,27.11,14.47,2.805,2605.022,2305.807,36.37
32.38,26.89,24.55,16.18,2.714,2807.48,2510.659,36.384
32.85,27.38,26.32,13.45,3.228,2619.557,2320.796,36.861
31.97,25.61,26.83,15.59,2.803,2667.113,2371.984,36.717
32.78,25.84,25.62,15.76,2.799,2701.346,2402.874,37.124
31.41,24.88,28.98,14.73,2.811,2521.119,2228.302,35.957
29.9,28.08,29.91,12.11,3.441,2560.801,2274.218,33.109
30.44,26.42,26.25,16.89,2.907,2852.62,2563.807,32.241
30.15,26.75,26.83,16.27,2.953,2832.236,2544.621,32.448
29.97,26.68,27.36,15.99,2.957,2802.694,2515.822,31.914
33.08,27.25,25.79,13.88,3.36,2697.219,2397.509,37.521
29.63,26.46,27.46,16.45,2.907,2815.651,2530.181,34.754
29.6,26.5,28.15,15.75,2.888,2760.351,2475.006,34.719
30.3,25.36,29.22,15.12,2.804,2607.467,2319.232,35.304
31.51,26.76,27.66,14.07,3.476,2643.475,2350.245,35.606
30.8,26.46,26.62,16.12,2.691,2799.231,2508.932,36.078
30.39,26.43,27.16,16.02,2.829,2777.422,2488.816,35.609
34.62,26.58,24.63,14.17,3.628,2705.315,2399.248,37.342
31.04,26.15,25.87,16.94,2.81,2846.371,2555.082,36.03
30.97,26.22,26.56,16.25,2.95,2796.86,2505.859,35.648
30.83,26.47,26.66,16.04,2.935,2797.631,2507.208,35.485
31.56,26.95,27.67,13.82,3.519,2677.664,2384.227,34.269
30.25,26.35,27.2,16.2,2.865,2819.514,2531.485,35.606
30.98,26.32,24.96,17.74,2.901,2942.594,2651.552,36.406
30.55,26.66,25.33,17.46,3.001,2955.392,2666.125,35.857
31.52,26.81,28.42,13.25,3.678,2577.588,2284.317,35.002
31.01,25.04,28.07,15.88,3.138,2645.663,2354.497,34.433
31.25,26.29,27.58,14.88,2.844,2645.553,2353.396,36.224
30.97,25.7,29.14,14.19,3.462,2599.321,2308.32,33.87
28.5,26.99,30.26,14.25,2.825,2662.804,2381.999,33.594
28.73,27.02,29.93,14.32,2.746,2655.34,2373.586,32.783
29.58,26.51,28.53,15.38,2.772,2726.147,2440.884,34.729
30.22,26.7,28.85,14.23,3.712,2662.179,2374.274,34.093
29.19,27.05,28.01,15.75,2.95,2751.628,2467.974,35.12
29.25,27.41,27.36,15.98,2.933,2807.023,2523.123,33.716
30.8,27.63,26.8,14.77,3.644,2788.966,2498.667,33.493
29.79,27.31,25.62,17.28,2.998,2943.208,2657.078,36.164
31.1,25.21,28.28,15.41,2.916,2615.824,2324.287,35.103
32.09,24.86,27.26,15.79,2.78,2632.008,2336.384,36.198
31.2,26.91,29.23,12.66,3.552,2531.202,2239.251,34.471
31.25,26.28,27.98,14.49,2.957,2652.851,2360.695,35.159
32.11,26.43,25.46,16,2.913,2795.678,2499.971,36.972
29.14,27.08,31.23,12.55,3.35,2555.099,2271.652,32.091
29.03,25.32,31.68,13.97,2.955,2541.666,2258.673,33.607
28.69,25.44,31.03,14.84,3.009,2624.715,2343.126,32.171
28.78,25.51,30.94,14.77,3.032,2618.374,2336.413,32.424
28.6,27.62,30.27,13.51,3.464,2671.564,2390.346,32.207
28.56,26.75,32.39,12.3,3.163,2507.196,2226.143,33.592
29.29,27.07,28.39,15.25,2.998,2762.729,2478.663,35.244
29.31,27,29.07,14.62,3.029,2709.172,2425.023,35.109
31.5,24.91,28.72,14.87,2.703,2578.103,2284.915,35.256
31.12,25.41,28.41,15.06,2.725,2622.479,2330.859,35.179
31,26.18,27.87,14.95,2.79,2659.139,2368.014,34.728
30.63,25.18,28,16.19,2.582,2694.588,2404.991,34.471
29.06,26.79,32.34,11.81,3.514,2465.925,2182.809,32.335
28.91,26.5,30.58,14.01,3.156,2631.312,2348.814,32.381
28.77,26.65,28.38,16.2,2.61,2789.877,2507.957,33.634
29.24,26.81,27.64,16.31,2.604,2812.971,2529.111,34.233
32.08,26.39,25.33,16.2,2.752,2798.416,2502.833,36.174
31.5,26.53,26.17,15.8,2.873,2793.985,2500.796,35.439
32.1,25.82,26.31,15.77,2.929,2769.589,2473.924,35.475
28.65,26.38,30.55,14.42,3.602,2639.623,2358.199,32.189
29.96,27.05,26.34,16.65,3.167,2890.742,2603.911,34.129
29.42,27.48,26.05,17.05,3.109,2941.637,2657.034,33.801
29.39,27.28,26.48,16.85,3.147,2910.662,2626.184,33.725
32.03,25.86,28.67,13.44,3.369,2543.811,2248.434,35.128
32.83,25.69,26.28,15.2,2.883,2693.596,2394.917,36.18
32.95,25.82,25.13,16.1,2.891,2769.057,2469.883,36.539
32.74,26,24.82,16.44,2.881,2820.049,2521.742,36.347
29.99,27.01,27.46,15.54,2.934,2798.615,2511.66,34.103
30.22,27.29,25.59,16.9,2.91,2924.682,2636.778,34.775
31.77,25.89,28.64,13.7,3.126,2571.797,2277.494,34.976
30.58,26.21,27.49,15.72,3.329,2760.555,2471.164,34.214
34.27,24.76,26.04,14.93,2.601,2565.019,2260.396,37.26
34.02,24.46,26.41,15.11,2.563,2547.038,2243.447,37.168
34.21,25.28,25.16,15.35,2.558,2627.91,2323.534,37.823
33.68,25.89,26.47,13.96,2.821,2554.831,2252.644,35.872
32.34,26.87,26.22,14.57,3.339,2651.397,2354.741,35.907
31.84,26.52,25.14,16.5,2.902,2813.334,2518.742,36.305
32.09,26.31,26.19,15.41,2.884,2706.431,2410.807,36.148
30.48,24.99,28.91,15.62,2.825,2645.444,2356.465,34.654
30.05,25.58,27.35,17.02,2.805,2799.457,2512.254,34.83
29.24,25.7,28.14,16.92,2.61,2801.254,2517.395,33.64
29.86,25.41,29.81,14.92,2.733,2629.629,2343.21,33.673
32.19,24.87,27.59,15.35,2.842,2632.031,2335.994,35.626
32,25.08,27.16,15.76,3.145,2696.799,2401.546,35.452
31.76,25.58,27.01,15.65,2.842,2698.043,2403.781,35.784
31.4,25.74,27.38,15.48,2.958,2690.024,2397.248,34.504
31.26,25.48,29.64,13.62,3.058,2526.445,2234.247,34.334
29.99,25.92,28.94,15.15,3.043,2711.559,2424.603,33.486
30.32,25.98,28.08,15.62,3.122,2747.92,2459.602,34.249
32.84,25.87,28.46,12.83,3.061,2509.991,2211.271,35.889
29.98,25.48,30.59,13.95,3.208,2583.289,2296.374,33.23
31.96,24.95,29.08,14.01,2.88,2543.464,2248.376,35.238
31.98,25.5,29.16,13.36,2.656,2518.884,2223.714,34.919
34.39,26.1,25.31,14.2,3.308,2648.191,2343.073,36.941
32.41,25.23,27.42,14.94,2.848,2635.732,2338.787,35.719
31.77,25.56,28.18,14.49,2.872,2617.464,2323.161,35.072
29.85,25.54,31.06,13.55,3.605,2516.916,2230.539,32.67
30.07,27.65,26.62,15.66,3.246,2865.336,2578.05,33.916
29.31,27.02,27.94,15.73,3.094,2811.487,2527.338,33.534
