p_mois,p_vol,p_ash,p_car,p_sul,u_nit
16.445,31.445,34.775,17.335,3.35,1.413
15.285,31.765,35.205,17.745,3.4,1.39
15.88,32.095,32.755,19.27,3.797,1.456
16.425,32.965,30.6,20.01,3.784,1.492
15.72,33.085,31.495,19.7,3.865,1.48
15.405,31.94,30.935,21.72,4.164,1.477
14.635,31.505,36.81,17.05,3.845,1.339
15.81,32.07,33.145,18.975,3.535,1.444
15.66,33.12,32.51,18.71,3.73,1.454
12.61,29.205,41.845,16.34,3.622,1.216
18.445,31.485,31.06,19.01,3.282,1.466
15.19,33.16,31.99,19.66,3.817,1.46
14.805,32.83,32.92,19.445,4.093,1.428
15.69,31.99,32.2,20.12,3.706,1.462
16.29,32.36,30.58,20.77,3.731,1.512
16.045,30.315,36.56,17.08,3.513,1.363
16.645,31.48,33.36,18.515,3.656,1.441
17.62,31.04,32.515,18.825,3.591,1.403
16.47,32.265,32.295,18.97,3.667,1.574
16.83,31.605,33.535,18.03,3.74,1.306
18.975,30.67,32.655,17.7,3.815,1.599
16.305,30.155,34.565,18.975,3.73,1.41
17.392,31.05,34.125,17.433,3.76,1.395
15.96,30.31,36.29,17.44,3.516,1.367
16.015,31.11,33.77,19.105,3.677,1.696
15.575,31.89,34.31,18.225,3.711,1.68
14.695,32.975,32.72,19.61,3.485,1.77
14.485,32.04,35.41,18.065,3.4,1.696
15.36,31.56,35.365,17.715,3.74,1.607
14.795,32.775,33.495,18.935,3.55,1.72
16.82,32.42,32.765,17.995,3.939,1.613
16.13,30.2,34.075,19.595,3.994,1.611
16.03,30.335,33.09,20.545,4.045,1.625
14.915,32.515,33.725,18.845,4.134,1.692
13.42,31.795,38.37,16.415,3.66,1.617
13.16,31.3,37.96,17.58,3.622,1.628
13.35,32.375,35.455,18.82,3.774,1.679
14.605,29.735,39.055,16.605,3.972,1.292
16.88,32.07,29.635,21.415,4.371,1.574
17.275,30.645,35.655,16.425,3.492,1.292
14.41,30.565,37.57,17.455,3.856,1.342
15.52,32.635,32.38,19.465,4.467,1.403
15.61,32.56,32.445,19.385,4.177,1.491
13.93,28.03,39.095,18.945,3.869,1.375
15.64,31.23,31.91,21.22,4.769,1.381
14.71,27.3,39.28,18.71,3.679,1.261
12.795,30.6,38.915,17.69,3.834,1.285
12.94,30.695,37.93,18.435,3.85,1.341
15.3,31.695,36.365,16.64,3.71,1.326
17.335,29.945,34.3,18.42,3.81,1.382
16.26,31.295,35.14,17.305,3.36,1.401
15.3,31.455,35.32,17.925,3.825,1.319
15.85,31.825,33.745,18.58,3.82,1.423
13.935,30.165,40.095,15.805,3.586,1.484
15.895,30.23,36.965,16.91,3.532,1.326
15.97,31.79,33.2,19.04,3.74,1.438
13.49,30.45,37.975,18.085,3.554,1.355
15.21,33.89,33.77,17.13,3.919,1.371
14.69,31.37,34.93,19.01,3.655,1.407
19.195,33.67,28.18,18.955,4.151,1.608
16.105,31.295,34.765,17.835,3.688,1.603
17.38,31.86,32.365,18.395,3.553,1.401
15.26,32.615,33.63,18.495,3.72,1.448
13.59,30.075,38.225,18.11,4.027,1.355
13.11,31.365,35.83,19.695,3.684,1.454
13.58,31.54,34.59,20.29,3.641,1.478
12.815,29.59,38.78,18.815,3.725,1.42
13.43,29.595,36.685,20.29,3.475,1.436
14.055,29.005,37.36,19.58,3.415,1.421
14.475,27.685,35.33,22.51,3.73,1.521
15.105,30.12,32.84,21.935,3.555,1.526
10.445,30.95,37.94,20.665,3.97,1.486
10.985,31.675,34.795,22.545,3.733,1.782
11.765,31.945,32.53,23.76,3.641,1.598
13.105,29.39,38.635,18.87,3.945,1.478
13.535,30.345,35.22,20.9,3.405,1.483
12.67,30.92,34.965,21.445,3.586,1.668
12.1,27.76,42.58,17.56,3.435,1.447
13.425,30.07,35.42,21.085,3.395,1.251
11.81,27.22,41.7,19.27,3.41,1.291
20.18,27.555,34.19,18.075,3.07,1.365
19.445,28.26,32.74,19.555,3.241,1.428
19.14,28.15,33.41,19.3,3.316,1.54
15.95,28.59,36.71,18.75,3.27,1.731
17.19,26.27,38.96,17.58,3.021,1.345
17.365,28.195,35.25,19.19,3.203,1.469
14.38,30.02,33.7,21.9,3.26,1.43
14.665,28.865,35.36,21.11,3.24,1.467
13.735,30.02,36.445,19.8,3.542,1.545
14.02,30.885,34.92,20.175,3.568,1.366
14.08,32.26,34.6,19.06,3.505,1.389
15.26,34.6,26.2,23.94,4.3,1.485
12.84,31.75,38.48,16.93,3.455,1.544
11.405,32.36,37.03,19.205,3.493,1.252
14.57,35.21,23.91,26.31,3.614,1.348
11.415,33.195,36.75,18.64,3.303,1.555
12.8,32.815,35.225,19.16,3.58,1.349
11.385,30.72,38.82,19.075,3.435,1.731
11.54,34.4,35.005,19.055,3.99,1.365
13.235,31.755,35.97,19.04,3.62,1.492
12.915,34.805,34.145,18.135,4.325,1.354
14.185,34.015,30.155,21.645,3.74,1.6
14.5,34.57,29.07,21.86,3.615,1.594
10.195,31.84,39.095,18.87,3.78,1.42
9.06,32.37,36.355,22.215,4.595,1.376
11.385,34.885,31.9,21.83,4.005,1.517
11.685,34.485,31.255,22.575,4.08,1.54
9.185,32.84,37.045,20.93,4.01,1.373
8.78,33.89,36.325,21.005,4.07,1.467
10.77,33.195,33.735,22.3,4.005,1.49
11.305,32.88,32.245,23.57,4,1.522
14.02,31.11,36.255,18.615,3.425,1.758
12.505,33.36,35.995,18.14,3.47,1.774
15.56,31.475,36.715,16.25,3.845,1.68
16.195,32.395,34.905,16.505,4.17,1.683
16.26,31.79,34.495,17.455,3.46,1.791
13.445,35.395,34.035,17.125,3.735,1.381
11.755,31.755,40.87,15.62,3.43,1.395
13.265,32.99,37.285,16.46,3.415,1.344
14.03,32.15,36.62,17.2,3.372,1.339
14.145,33.47,33.91,18.475,3.335,1.414
13.325,30.76,39.985,15.93,3.225,1.3
12.685,34.855,37.73,14.73,4.085,1.294
12.6,32.025,39.095,16.28,3.335,1.361
14.22,30.34,41.04,14.4,3.29,1.265
14.035,32.275,37.015,16.675,3.055,1.354
12.87,32.725,37.015,17.39,3.28,1.24
13.975,32.675,35.62,17.73,3.255,1.26
13.455,32.505,38.585,15.455,3.557,1.17
15.255,28.435,38.37,17.94,3.441,1.13
15.105,28.67,38.245,17.98,3.403,1.13
17.125,30.215,35.26,17.4,3.35,1.587
16.17,30.035,34.985,18.81,3.73,1.663
16.4,29.06,39.39,15.15,3.417,1.662
17.21,29.705,37.295,15.79,3.052,1.774
17.33,30.225,37.265,15.18,3.075,1.727
13.085,30.665,40.495,15.755,3.042,1.14
13.155,30.25,40.445,16.15,2.98,1.15
14.1,31.515,38.55,15.835,3.38,1.15
14.205,32.475,38.02,15.3,3.32,1.17
17.48,30.165,35.075,17.28,3.17,1.423
15.3,32.075,35.2,17.425,3.382,1.547
14.305,31.46,36.965,17.27,3.278,1.449
14.505,32.225,38.195,15.075,3.141,1.14
13.64,32.365,36.755,17.24,3.218,1.19
14.4,32.99,36.345,16.265,3.1,1.15
13.705,31.48,39.195,15.62,3.209,1.15
14.17,31.825,36.13,17.875,3.259,1.18
14.505,32.19,35.895,17.41,3.215,1.22
14.31,32.41,34.955,18.325,3.336,1.24
14.625,32.665,34.47,18.24,3.29,1.23
15.24,31.65,36.785,16.325,3.345,1.17
16.345,31.33,36.685,15.64,2.99,1.17
15.08,31.465,37.32,16.135,3.015,1.17
18.84,34.055,27.71,19.395,3.075,1.727
20.575,33.19,26.16,20.075,3.155,1.618
19.2,34.115,29.8,16.885,3.44,1.501
18.5,35.275,27.59,18.635,2.82,1.515
13.495,31.18,38.6,16.725,3.35,1.16
14.11,32.43,36.66,16.8,3.305,1.16
15.31,32.6,35.52,16.57,3.279,1.19
14.83,30.605,39.165,15.4,3.072,1.11
15.42,31.44,35.2,17.94,3.12,1.22
14.42,31.815,35.965,17.8,3.268,1.23
13.135,32.86,36.55,17.455,3.465,1.18
13.675,33.855,34.94,17.53,3.245,1.12
8.54,34.725,39.44,17.295,3.052,1.22
8.86,34.35,38,18.79,3.072,1.27
11.475,31.7,39.34,17.485,3.621,1.14
10.455,34.535,34.145,20.865,3.699,1.29
11.13,33.405,36.535,18.93,3.553,1.26
13.52,32.13,36.235,18.115,3.47,1.14
12.86,32.64,36.83,17.67,3.332,1.33
11.965,34.555,36.79,16.69,3.678,1.3
12.59,34.45,32.54,20.42,3.586,1.44
13.365,34.11,32.345,20.18,3.632,1.43
13.355,31.505,36.05,19.09,3.455,1.34
15.03,35.52,27.115,22.335,2.605,1.53
12.075,33.395,35.72,18.81,3.36,1.39
11.35,32.09,35.44,21.12,3.676,1.21
9.91,32.605,35.79,21.695,3.699,1.22
10.925,31.555,39.305,18.215,3.6,1.11
10.765,31.94,38.325,18.97,3.685,1.11
10.635,32.06,38.19,19.115,3.74,1.12
10.41,31.655,40.86,17.075,3.688,1.3
12.145,30.93,38.92,18.005,3.409,1.33
8.825,33.425,37.94,19.81,3.795,1.36
9.66,34.86,33.18,22.3,3.93,1.46
9.8,33.94,35.325,20.935,3.845,1.4
11.575,31.17,39.57,17.685,3.5,1.3
15.235,35.505,26.465,22.795,2.62,1.56
12.3,34.575,34.355,18.77,3.435,1.35
11.16,34.12,32.97,21.75,3.47,1.51
10.28,34.37,37.24,18.11,3.295,1.37
10.49,34.31,37.58,17.62,3.3,1.35
13.255,32.165,35.306,19.274,3.496,1.4
14.265,35.695,26.985,23.055,2.65,1.52
12.105,32.8,35.93,19.165,3.493,1.41
10.225,32.05,38.485,19.24,3.116,1.37
12.385,36.595,26.175,24.845,2.682,1.54
11.86,32.685,39.83,15.625,3.793,1.25
10.61,33.66,37.1,18.63,3.436,1.4
11.115,33.355,36.64,18.89,3.342,1.4
10.28,35.1,34.985,19.635,3.9,1.35
10.335,33.655,38.63,17.38,3.365,1.3
9.425,33.78,38.185,18.61,3.495,1.33
14.94,30.48,37.55,17.03,3.058,1.21
15.92,31.74,35.59,16.75,3.176,1.2
15.85,31.8,34.06,18.29,3.117,1.23
9.645,34.05,37.105,19.2,4.351,1.29
10.415,33.745,35.405,20.435,3.485,1.35
9.685,33.56,37.005,19.75,3.516,1.42
11.2,33.67,38.2,16.93,3.192,1.29
13.4,33.49,33.48,19.63,3.652,1.32
12.265,34.12,34.4,19.215,3.825,1.34
8.71,37.065,34.915,19.31,3.63,1.34
9.05,35.51,34.875,20.565,3.575,1.39
9.095,35.655,34.2,21.05,3.57,1.42
12.285,34.32,33.94,19.455,3.414,1.37
11.58,32.07,37.73,18.62,3.115,1.3
11.13,32.77,36.84,19.26,3.476,1.32
11.755,32.205,37.42,18.62,3.478,1.29
14.61,31.01,35.76,18.62,3.46,1.23
13.84,31.1,37.29,17.77,3.405,1.22
13.29,32.68,36.13,17.9,3.435,1.28
11.425,32.54,36.295,19.74,3.59,1.27
12.36,35.75,35.15,16.74,4.18,1.26
11.465,32.815,36.355,19.365,3.36,1.3
11.535,32.41,35.875,20.18,3.245,1.34
15.795,30.375,36.635,17.195,3.134,1.2
13.125,30.04,38.625,18.21,3.088,1.23
13.395,30.385,37.975,18.245,3.136,1.25
14.915,30.66,39.525,14.9,2.85,1.13
15.555,31.815,37.41,15.22,3.4,1.14
14.2,32.39,36.5,16.91,3.06,1.23
14.99,32.37,35.48,17.16,3.07,1.25
16.31,30.7,33.73,19.26,2.882,1.35
16.01,33.02,35.76,15.21,3.474,1.21
14.88,31.67,34.38,19.07,3.215,1.31
14.05,32.49,33.7,19.76,3.324,1.34
14.51,31.44,35.66,18.39,2.837,1.27
15.73,33.32,32.62,18.33,3.376,1.26
15.29,32.46,32.39,19.86,3.054,1.32
14.58,32.55,33.05,19.82,3.182,1.31
12.445,33.1,34.93,19.525,3.524,1.28
11.435,32.25,39.575,16.74,3.14,1.28
10.585,32.79,37.855,18.77,3.254,1.33
13.5,29.855,36.675,19.97,3.034,1.31
13.97,30.12,35.785,20.125,3.033,1.27
14.675,30.42,34.51,20.395,3.027,1.28
11.805,34.075,33.51,20.61,3.238,1.4
13.485,33.95,32.11,20.455,3.308,1.38
15,33.19,32.775,19.035,3.08,1.35
14.185,34.57,31.491,19.753,3.185,1.36
12.43,31.915,40.505,15.15,3.29,1.32
12.685,32.895,35.87,18.55,2.985,1.19
14.485,33.45,34.91,17.155,3.432,1.21
14.04,32.605,33.86,19.495,3.087,1.28
13.11,30.75,38.395,17.744,3.028,1.21
13.675,33.24,34.6,18.485,3.12,1.31
14.655,33.05,31.945,20.35,3.236,1.34
14.99,33.245,32.115,19.65,3.162,1.32
16.77,31.07,34.995,17.165,2.841,1.18
14.805,32.58,31.96,20.655,3.085,1.31
14.6,33.17,33.06,19.17,3.132,1.27
16.095,32.965,32.405,18.535,3.177,1.29
14.85,33.29,32.07,19.79,2.985,1.38
14.615,32.93,31.84,20.615,2.991,1.39
14.32,33.325,33.1,19.255,3.426,1.29
14.045,36.24,28.68,21.035,3.592,1.41
14.25,34.325,30.77,20.655,3.113,1.39
12.925,33.725,33.205,20.145,3.264,1.37
15.425,35.09,28.665,20.82,3.096,1.34
13.56,34.61,31.64,20.19,3.287,1.3
13.97,34.66,30.285,21.085,3.27,1.32
15.295,35.205,29.8,19.7,3.45,1.23
15.04,34.99,29.88,20.09,3.275,1.28
16.61,31.815,31.35,20.225,2.985,1.38
17.1,32.87,30.365,19.665,3.08,1.3
16.13,33.21,30.725,19.935,3.175,1.31
16.36,32.76,30.685,20.195,3.275,1.3
15.55,31.95,35.465,17.035,3.07,1.22
17.395,34.625,22.76,25.22,2.26,1.54
15.18,35.415,26.145,23.26,3.005,1.42
15.085,35.43,26.765,22.72,2.835,1.41
14.485,31.805,34.145,19.565,3.245,1.3
14.635,33.685,35.09,16.59,3.64,1.24
12.79,34.455,32.14,20.615,3.31,1.36
15.83,30.735,36.265,17.17,3.385,1.16
17.565,33.495,28.03,20.91,3.22,1.29
15.99,34.07,30.83,19.11,3.21,1.3
14.355,34.22,28.65,22.775,3.857,1.41
12.575,33.32,33.955,20.15,3.685,1.4
13.47,32.665,34.465,19.4,3.169,1.4
13.11,34.925,32.98,18.985,3.401,1.38
14.68,32.09,33.225,20.005,3.24,1.38
13.975,32.755,33.86,19.41,3.34,1.37
16.355,31.925,35.495,16.225,3.337,1.22
16.095,33.09,30.855,19.96,3.135,1.36
14.215,33.14,34.67,17.975,3.403,1.32
12.93,30.885,38.705,17.48,3.333,1.56
14.505,32.03,34.535,18.93,3.29,1.38
16.86,31.715,32.525,18.9,3.37,1.34
16.05,34.24,34.3,15.41,4.09,1.32
15.465,33.175,31.995,19.365,3.56,1.41
16.77,31.745,32.76,18.725,3.42,1.32
14.195,33.705,32.825,19.275,3.961,1.31
12.685,33.775,32.74,20.8,3.357,1.45
12.355,33.665,33.97,20.01,3.358,1.41
13.43,32.925,33.29,20.355,3.802,1.41
13.51,34.15,31.85,20.49,3.515,1.42
13.495,33.755,32.355,20.395,3.492,1.4
14.12,32.915,34.575,18.39,3.105,1.31
15.19,35.23,26.895,22.685,3.75,1.38
13.42,33.16,32.72,20.7,3.28,1.39
12.605,33.355,34.07,19.97,3.31,1.41
13.635,35.32,30.155,20.89,3.578,1.38
14.275,34.09,28.57,23.065,3.501,1.45
14.14,34.08,28.985,22.795,3.331,1.47
14.825,33.755,26.725,24.695,2.929,1.61
11.995,32.26,32.48,23.265,3.41,1.43
11.46,33.805,30.645,24.09,3.94,1.46
12.75,32.33,32.205,22.715,3.52,1.41
12.285,32.115,32.215,23.385,3.51,1.41
9.98,33.385,39.59,17.045,3.186,1.31
11.225,36.38,30.745,21.65,3.79,1.47
9.845,32.02,41.35,16.785,3.23,1.28
9.815,33.065,39.57,17.55,3.199,1.33
11.23,30.28,37.7,20.79,3.249,1.33
12.5,31.42,35.53,20.55,3.298,1.29
13.14,30.64,35.93,20.29,3.387,1.28
11.11,31.22,39.52,18.15,3.303,1.25
13.61,34.39,35.085,16.915,3.435,1.13
13.19,33.11,34.04,19.66,3.205,1.2
13.335,33.425,34.945,18.295,3.285,1.18
11.945,31.89,38.44,17.725,3.31,1.14
11.285,32.555,34.56,21.6,3.06,1.27
12.7,34.54,29.815,22.945,2.705,1.4
12.745,34.79,29.71,22.755,2.638,1.4
13.865,32.26,35.85,18.025,3.138,1.13
13.46,34.79,34.42,17.33,3.2,1.15
10.395,34.045,36.385,19.175,3.293,1.2
10.93,34.07,35.595,19.405,3.315,1.22
13.57,31.42,36.96,18.05,3.345,1.11
12.57,33.77,35.72,17.94,3.545,1.18
11.905,33.98,34.305,19.81,3.26,1.24
12.025,33.23,34.94,19.805,3.37,1.23
12.55,33.71,33.585,20.155,3.088,1.31
13.93,32.17,33.585,20.315,3.33,1.27
12.815,33.035,33.935,20.215,4.045,1.25
12.695,34.365,32.055,20.885,3.002,1.33
8.265,32.725,38.225,20.785,3.602,1.31
7.68,32.78,40.385,19.155,4.074,1.19
8.705,34.375,35.66,21.26,3.78,1.32
9.325,34.53,34.865,21.28,3.762,1.33
8.455,33.38,36.21,21.955,3.785,1.32
8.74,33.99,39.415,17.855,3.515,1.16
8.625,35.015,35.28,21.08,3.37,1.36
8.85,34.83,35.165,21.155,3.52,1.36
7.27,34.315,37.13,21.285,3.672,1.33
9.07,33.28,35.08,22.57,3.86,1.32
8.44,35.66,36.555,19.345,3.752,1.27
6.87,34.35,38.605,20.175,3.912,1.3
10.56,33.615,36.57,19.255,3.78,1.34
10.015,32.54,36.64,20.805,3.994,1.32
9.495,35.58,33.58,21.345,4.296,1.34
9.395,34.78,35.535,20.29,3.856,1.35
13.02,36.09,30.765,20.125,3.9,1.26
10.325,33.485,36.015,20.175,3.47,1.32
10.885,36.99,30.06,22.065,4.118,1.34
9.985,36.115,31.425,22.475,3.805,1.44
9.51,36.135,31.895,22.46,3.694,1.46
9.165,34.665,36.305,19.865,3.325,1.36
8.395,35.725,36.155,19.725,3.308,1.35
8.17,35.19,36.115,20.525,3.228,1.39
11.125,33.895,35.935,19.045,3.071,1.26
11.59,33.62,33.2,21.59,3.316,1.41
7.835,34.165,37.13,20.87,3.71,1.36
8.61,33.61,35.945,21.835,3.64,1.3
8.26,32.3,34.75,24.69,3.51,1.43
8.29,33.97,37.195,20.545,3.48,1.36
13.07,32.06,34.575,20.295,3.81,1.28
12.87,31.025,37.965,18.14,3.62,1.21
12.985,34.32,33.015,19.68,4.07,1.31
12.895,32.64,33.63,20.835,3.75,1.33
11.31,33.92,34.83,19.94,3.42,1.3
9.54,35.88,36.015,18.565,4.22,1.3
10.275,36.23,31.25,22.245,3.37,1.41
9.08,34.86,39.65,16.41,3.615,1.38
11.9,33.95,31.91,22.24,3.941,1.08
11.165,33.77,36.085,18.98,3.49,1.41
13.35,35.79,31.3,19.56,4.053,1.42
12.125,34.465,32.985,20.425,3.241,1.49
12.27,35.165,30.41,22.155,3.381,1.58
8.94,33.195,39.275,18.59,3.916,1.26
9.28,35.965,33.855,20.9,4.008,1.3
8.67,34.37,37.61,19.35,3.762,1.31
9.83,33.57,35.45,21.15,3.722,1.33
14.71,32.42,32.935,19.935,3.827,1.24
14.865,33.83,30.765,20.54,4.31,1.24
14.165,33.57,31.255,21.01,4.019,1.3
14.005,33.98,30.125,21.89,3.947,1.42
10.69,34.85,32.7,21.76,4.108,1.41
11.68,34.59,31.05,22.68,4,1.51
11.02,34.77,31.91,22.3,4.103,1.41
9.28,31.75,36.65,22.32,4.101,1.36
15.75,32.13,32.17,19.95,3.381,1.25
15.97,34.39,26.64,23,2.969,1.43
15.38,36.11,22.28,26.23,3.559,1.56
15.02,35.15,24.33,25.5,3.669,1.51
14.12,35.28,23,27.6,3.807,1.57
13.03,33.12,31.3,22.55,3.606,1.42
13.25,33.13,30.99,22.63,3.509,1.44
12.558,36.5,25.59,25.352,3.769,1.54
11.63,34.26,33.01,21.1,3.717,1.44
12.15,33.12,32.72,22.01,3.48,1.43
12.16,33.46,32.2,22.18,3.698,1.44
16.24,32.3,27.98,23.48,3.54,1.35
16.57,31.92,27.12,24.39,3.46,1.37
18.69,34.07,23.82,23.42,3.24,1.44
17.18,32.5,26.78,23.54,4.14,1.35
16.64,32.84,26.88,23.64,3.55,1.39
16.9,31.67,27.78,23.65,3.57,1.35
17.43,32.86,25.31,24.4,3.64,1.4
15.56,33.4,26.39,24.65,3.56,1.43
15.98,32.66,27.34,24.02,3.67,1.39
17.77,33.83,23.23,25.17,3.51,1.46
17.39,34.57,22.06,25.98,3.45,1.47
16.22,33.85,26.19,23.74,3.66,1.41
17.37,33.91,25.53,23.19,3.5,1.4
15.98,34.17,28.15,21.7,3.51,1.32
16.54,33.58,28.64,21.24,3.63,1.28
17.96,31.99,30.1,19.95,3.31,1.28
19.3,32.44,27.85,20.41,3.24,1.28
17.96,33.75,28.45,19.84,3.41,1.25
16.65,33.2,30.13,20.02,3.53,1.31
17.69,29.95,31.42,20.94,3.006,1.14
13.13,31.55,32.09,23.23,3.267,1.36
13.95,31.37,33.99,20.69,3.363,1.3
14.26,31.99,30.38,23.37,3.449,1.38
13.29,32.04,31.67,23,3.476,1.35
16.92,30.31,31.9,20.87,3.017,1.16
16.91,30.03,31.48,21.58,2.872,1.14
18.93,29.1,31.76,20.21,2.775,1.1
18.97,30.51,29.96,20.56,2.868,1.11
18.36,30.85,30.89,19.9,3.216,1.12
16.62,31.48,30.06,21.84,3.207,1.18
10.795,33.41,35.465,20.33,3.883,1.32
9.525,34.15,39.13,17.195,3.227,1.27
11.205,35.22,29.58,23.995,4.017,1.42
10.845,35.535,29.94,23.68,4.061,1.43
13.905,32.26,33.3,20.535,3.27,1.33
12.745,33.175,34.97,19.11,3.4,1.3
15.1,33.51,31.13,20.26,3.648,1.26
14.65,32.87,31.33,21.15,3.308,1.33
16.24,32.3,32.18,19.28,3.207,1.31
15.97,32.2,31.53,20.3,3.294,1.32
15.3,32.24,31.85,20.61,3.472,1.3
15.78,31.4,31.78,21.04,3.457,1.3
15.05,32.29,32,20.66,3.404,1.31
15.6,32.65,32.01,19.74,3.482,1.3
15.98,31.63,32.31,20.08,3.488,1.29
16.76,31.54,30.79,20.91,3.444,1.31
16.78,31.91,30.49,20.82,3.443,1.32
16.15,31.54,31.81,20.5,3.509,1.24
17.13,31.81,33.67,17.39,3.209,1.22
16.43,31.98,33.19,18.4,3.246,1.26
15.43,32.55,32.3,19.72,3.287,1.3
14.405,32.79,33.695,19.11,3.347,1.31
16.09,32.64,32.04,19.23,3.089,1.28
14.88,33.885,30.66,20.575,3.501,1.32
16.08,33.58,30.905,19.435,3.533,1.25
13.865,32.25,35.65,18.235,3.355,1.25
15.245,32.64,33.09,19.025,3.274,1.28
15.45,33.105,30.785,20.66,3.4,1.34
12.97,33.675,32.635,20.72,3.151,1.33
15.36,33.41,31.09,20.14,3.359,1.31
15.92,33.11,30.61,20.36,3.406,1.33
17.585,32.47,28.61,21.335,2.939,1.37
14.77,33.12,32.77,19.34,3.557,1.31
16.975,33.42,28.75,20.855,2.805,1.27
15.98,32.515,29.995,21.51,3.235,1.35
16.27,32.95,29.505,21.275,3.325,1.35
15.335,33.08,29.42,22.165,3.462,1.33
15.42,33.17,29.165,22.245,3.596,1.37
15.17,33,34.67,17.16,3.485,1.15
14.175,32.6,33.8,19.425,3.24,1.25
14.245,32.6,32.475,20.68,3.09,1.27
13.23,32.825,33.06,20.885,3.457,1.33
16.115,32.725,29.74,21.42,3.319,1.29
13.665,32.75,31.345,22.24,3.638,1.3
12.815,34.525,35.205,17.455,3.968,1.26
12.9,32.795,35.05,19.255,3.578,1.3
13.675,33.27,33.825,19.23,3.557,1.29
12.92,33.14,33.945,19.995,4.02,1.28
11.945,33.38,37.64,17.035,3.607,1.17
13.125,33.09,32.63,21.155,3.581,1.35
13.725,33.11,32.285,20.88,3.497,1.33
15.73,31.605,32.235,20.43,3.235,1.32
15.865,34.345,27.505,22.285,3.59,1.37
14.75,33.37,29.345,22.535,3.455,1.41
14.47,33.535,29.595,22.4,3.35,1.4
16.8,32.045,30.225,20.93,3.592,1.3
15.935,33.725,32.58,17.76,4.028,1.23
16.045,31.685,31.51,20.76,3.558,1.27
16.21,32.23,31.1,20.46,3.597,1.28
15.1,35.055,28.99,20.855,3.208,1.34
13.45,33.805,29.945,22.8,3.865,1.38
14.745,33.995,29.955,21.305,3.789,1.35
14.87,33.505,32.1,19.525,3.515,1.39
13.81,33.61,32.21,20.37,3.528,1.42
14.7,32.95,30.74,21.61,3.506,1.41
16.76,32.43,30.29,20.52,3.361,1.36
17.65,33.27,25.28,23.8,3.261,1.5
16.48,34.355,24.04,25.125,3.198,1.53
15.845,33.805,27.99,22.36,3.57,1.39
16.335,33.685,28.905,21.075,4.058,1.33
15.495,34.315,28.775,21.415,3.493,1.4
15.315,34.175,31.535,18.975,3.488,1.38
15.215,32.17,32.095,20.52,3.091,1.4
14,31.57,35.47,18.96,3.28,1.35
13.93,32.905,33.25,19.915,3.315,1.35
13.52,35.295,31.555,19.63,3.542,1.35
15.605,32.865,31.48,20.05,3.287,1.31
16.955,33.075,28.96,21.01,3.274,1.32
15.1,33.15,29.96,21.79,3.694,1.19
15.165,33.15,28.675,23.01,3.697,1.27
8.14,37.74,29.12,25,3.426,1.54
14.185,34.91,28.585,22.32,3.273,1.42
15.71,32.04,33.28,18.97,3.236,1.23
13.61,32.21,35.32,18.86,3.419,1.27
15.31,33.72,29.75,21.22,3.239,1.34
11.85,32.24,34.49,21.42,3.659,1.31
13.86,34.96,29.7,21.48,3.46,1.38
13.17,32.49,33.14,21.2,3.432,1.34
14.855,32.745,31.905,20.495,3.613,1.29
12.93,31.605,33.75,21.715,3.577,1.32
14.505,33.545,33.28,18.67,3.592,1.19
16.975,32.545,31.485,18.995,3.254,1.27
16.86,33.255,29.055,20.83,3.489,1.3
16.81,32.99,29.285,20.915,3.505,1.27
17.99,32.2,29.93,19.88,3.303,1.27
18.18,32.94,28.545,20.335,3.259,1.3
17.395,32.58,28.895,21.13,3.288,1.3
18.565,32.79,27.06,21.585,3.034,1.29
17.84,32.84,28.025,21.295,3.037,1.28
16.44,32.155,30.305,21.1,3.438,1.19
16.625,34.14,28.85,20.385,3.579,1.18
16.68,34.24,28.355,20.725,3.18,1.32
18.245,33.93,26.53,21.295,2.842,1.35
15.845,34.365,26.97,22.82,3.124,1.37
16.49,34.265,27.815,21.43,3.34,1.33
15.525,32.995,30.73,20.75,3.463,1.2
15.805,33.485,30.87,19.84,3.426,1.26
14.365,33.88,31.325,20.43,3.776,1.32
15.67,33.145,29.27,21.915,3.577,1.29
15.67,33.145,29.27,21.915,3.577,1.23
14.66,33.35,29.67,22.32,3.459,1.23
14.83,33.35,30.795,21.025,3.425,1.18
13.68,32.99,31.815,21.515,3.39,1.28
13.4,33.37,31.25,21.98,3.381,1.34
14.195,33.565,28.705,23.535,3.277,1.38
14.515,33.115,30.405,21.965,3.284,1.36
15.06,31.255,34.96,18.725,3.455,1.26
14.5,31.43,35.065,19.005,3.723,1.16
15.43,31.61,33.475,19.485,3.454,1.23
15.96,34.065,27.92,22.055,3.597,1.38
14.63,33.635,32.01,19.725,3.839,1.28
14.785,34.385,27.405,23.425,3.619,1.48
14.52,33.755,30.4,21.325,3.523,1.39
16.595,31.005,33.04,19.36,3.371,1.31
19.265,31.755,27.365,21.615,2.649,1.41
15.835,31.115,33.415,19.635,3.451,1.33
12.03,33.56,32.23,22.18,3.489,1.49
13.92,35.34,27.65,23.09,3.223,1.26
12.525,32.22,35.275,19.98,2.643,1.58
13,33.215,34.265,19.52,3.565,1.41
12.935,33.33,35.595,18.14,3.514,1.41
12.31,33.78,33.09,20.82,3.46,1.25
11.79,32.6,36.02,19.59,4.33,1.37
13.26,34.39,26.09,26.26,2.88,1.55
11.86,33.53,34.76,19.85,3.48,1.21
15.52,32.72,33.23,18.53,3.37,1.39
