p_mois,p_vol,p_ash,p_car,p_sul,u_hyd
14.26,35.15,34.86,15.74,3.7,4.22
14.39,34.84,34.74,16.04,3.44,4.13
14.39,34.84,34.74,16.04,3.44,4.25
14.39,34.84,34.74,16.04,3.44,4.29
14.39,34.84,34.74,16.04,3.44,4.2
13.68,34.62,34.72,16.99,2.55,4.21
15.27,33.95,31.13,19.66,3.34,4.39
15.16,33.8,31.57,19.48,3.15,4.29
16.04,34.6,26.68,22.69,2.61,4.67
16.99,34.98,23.88,24.16,2.78,4.83
14.15,35.28,26.36,24.22,2.56,4.6
14.72,35.1,26.6,23.59,2.58,4.58
13.26,35.55,28.8,22.41,2.94,4.4
10.34,32.08,35.88,21.7,3.6,4.02
12.72,34.97,27.78,24.53,2.89,4.44
13.27,35.45,28.35,22.94,2.86,4.45
12.78,35.12,28.1,24.01,2.94,4.34
12.95,35.99,28.09,22.99,3.31,4.39
12.11,37.52,30.36,20.02,4.06,4.27
12.71,36.04,29.36,21.9,3.63,4.28
11.84,36.21,27.87,24.09,3.41,4.32
13.81,35.52,27.61,23.07,3.18,4.48
11.32,36.8,29.12,22.77,2.75,4.34
11.34,37.15,27.04,24.48,2.78,4.45
11.32,36.59,26.28,25.83,2.87,4.48
11.17,37.31,24.92,26.61,2.93,4.47
13.96,36.95,20.27,28.83,2.9,4.86
14.02,36.54,19.18,30.27,2.93,4.91
9.61,35.65,31.19,23.57,2.9,4.1
10.1,35.19,33.43,21.29,3.41,4.01
9.71,34.84,34.49,20.97,3.33,4.15
9.85,36.23,26.43,27.5,2.87,4.32
10.12,36.5,26.56,26.83,2.63,4.26
11.22,38.76,19.98,30.05,2.53,4.59
10.42,38.28,23.22,28.09,2.57,4.44
10.26,36.85,25.81,27.09,2.9,4.36
9.5,37.89,26.51,26.11,2.92,4.4
9.75,39.02,26.74,24.5,3.1,4.18
8.9,39.68,29.66,21.76,3.21,4.02
9.06,37.11,28.17,25.67,3.16,4.11
8.91,37.15,28.96,24.99,3.42,4.1
11.16,38.23,21.37,29.25,2.77,4.58
10.65,38.62,25.78,24.96,2.84,4.23
9.32,33.48,38.69,18.52,3.51,3.82
12.12,38.09,22.26,27.54,2.89,4.48
11.26,37.87,23.58,27.3,2.72,4.38
12.28,38.05,19.8,29.88,2.73,4.63
10.07,38.56,20.37,31.01,3.5,4.61
11.98,37.85,18.32,31.86,3.15,4.73
9.32,36.27,31.1,23.32,3.91,4.05
10.07,33.34,36.28,20.32,3.21,3.88
12.55,34.67,32.75,20.03,3.83,3.98
14.48,35.15,29.13,21.26,2.09,4.47
14.48,35.15,29.13,21.26,2.09,4.46
12.6,34.01,31.04,22.35,1.89,4.33
10.58,33.75,37.14,18.54,3.51,3.89
13.4,32.97,33.36,20.27,3.22,4.18
12.37,34.21,32.92,20.51,3.27,4.16
14.33,34.79,28.07,22.81,3.13,4.4
11.47,36.49,30.13,21.92,3.83,4.1
12.41,35.52,27.99,24.08,2.77,4.33
11.84,35.63,31.06,21.48,3.35,4.07
12.54,33.8,34.48,19.19,3.03,3.9
15.78,36.86,19.75,27.63,2.66,4.99
14.89,36.46,21.83,26.83,3.22,4.79
14.05,37.38,23.13,25.45,3.33,4.63
14.35,37.55,23.07,25.04,2.59,4.52
11.68,37.38,27.12,23.83,3.05,4.22
11.68,37.38,27.12,23.83,3.05,4.17
12.4,37.35,26.84,23.43,3.06,4.31
12.4,37.35,26.84,23.43,3.06,4.23
12.4,37.35,26.84,23.43,3.06,4.27
13.14,36.94,28.74,21.19,2.9,4.26
12.41,38.04,26.29,23.26,2.98,4.34
12.96,37.54,23.34,26.17,2.72,4.43
13.63,36.45,26.71,23.22,2.85,4.45
13.37,37,25.21,24.43,3.39,4.55
12.43,38.95,19.78,28.85,2.49,4.79
12.87,36.97,25,25.16,2.67,4.37
13.35,36.53,26.41,23.72,2.84,4.49
13.46,36.42,25.72,24.41,2.7,4.53
13.58,36.69,24.69,25.05,3.08,4.54
15.11,36.21,25.25,23.44,3.1,4.59
17,35.76,23.98,23.27,3.11,4.79
13.18,37.34,26.1,23.39,2.66,4.41
11.76,37.12,29.04,22.1,3.33,4.32
13.5,37.02,23.36,26.13,2.3,4.52
14.55,36.06,24.49,24.91,2.8,4.56
15.4,35.88,23.27,25.46,2.61,4.67
16.8,35.18,23.96,24.06,2.51,4.67
16.92,34.8,23.62,24.66,3.04,4.8
