p_mois,p_vol,p_ash,p_car,p_sul,u_car
17.73,33.55,27.56,21.17,2.4,38.28
16.2,33.69,29.48,20.64,2.7,37.57
14.72,34.01,29.68,21.6,2.8,38.81
12.3,33.31,36.1,18.31,3.17,36.28
12.33,33.79,31.12,22.77,3.72,39.74
12.45,35.09,30,22.48,3.51,40.8
9.25,33.86,36.44,20.46,3.25,37.64
11.05,34.19,32.42,22.34,3.31,39.63
11.99,35.09,30.85,22.08,3.51,40.38
9.72,34.01,36.38,19.9,3.08,37.5
9.92,35.71,31.13,23.25,3.44,41.98
9.18,35.14,33.47,22.22,3.89,40.55
9.73,33.95,35.44,20.89,3.21,38.09
9.63,35.82,33.62,20.95,4.44,39.93
8.3,34.07,36.8,20.84,3.77,38.24
9.75,34.65,32.87,22.74,3.7,40.44
12.62,33.06,34.59,19.74,4.03,36.53
11.72,32.63,37.27,18.39,3.58,34.83
13.81,35.02,32.36,18.82,3.86,38.08
11.32,36.18,34.05,18.46,3.7,37.49
12.44,33.33,35.63,18.62,3.22,35.65
12.66,34,36.12,17.22,3.58,35.56
14.85,33.74,32.94,18.47,4.29,36.03
15.14,34.87,32.76,17.23,4.32,35.58
14.11,33.26,31.37,21.26,3.35,38.25
15.09,33.89,32.41,18.61,3.47,36.45
14.72,33.14,36.03,16.11,4.07,34.03
13.66,34.11,34.09,18.14,3.91,36.42
13.84,33.95,34.4,17.81,3.47,35.95
14.59,33.21,34.55,17.65,3.95,35.27
14.34,34.13,32.7,18.83,3.6,36.78
15.45,33.05,30.85,20.65,3.2,37.51
14.5,33.95,31.89,19.66,3.37,37.3
15.19,33.25,31.72,19.84,3.68,36.72
14.8,33.29,33.11,18.8,3.89,36.52
13.51,34.3,36.82,15.37,4,34.38
15.2,33.46,32.61,18.73,3.56,36.54
13.75,33.84,34.84,17.57,4.33,36.2
12.63,32.08,36.86,18.43,3.39,35.14
12.68,32.23,36.22,18.87,3.13,35.52
12.8,32.44,36.95,17.81,3.26,34.87
13.48,33.22,33.91,19.39,3.65,36.47
15.36,32.87,31.05,20.72,3.88,37.64
13.52,33.49,35,17.99,3.82,36.2
12.48,32.36,37.41,17.75,2.84,34.6
13.07,34.5,36.12,16.31,4.14,35.21
14.35,32.51,32.8,20.34,3.22,36.68
13.23,33.3,34.98,18.49,3.02,36.07
13.66,33.2,35.55,17.59,4.02,35.33
13.21,33.05,35.7,18.04,3.28,35.45
14.73,33.06,32.18,20.03,3.3,37.01
13.37,33.87,36.57,16.19,3.17,34.24
15.36,32.97,30.94,20.73,3.27,37.95
12.8,33.17,34.75,19.28,3.38,36.69
13.93,33.9,30.81,21.36,2.85,38.74
13.31,34.75,27.74,24.2,4.61,42.22
12.56,33.86,34.41,19.17,4.69,37.37
12.61,34.08,35.19,18.12,4.56,36.87
16.44,34.75,26.24,22.57,3.41,40.26
14.42,34,27.93,23.65,3.71,39.04
14.18,35.34,26.61,23.87,2.8,41.89
14.13,33.05,31.32,21.5,2.76,36.26
15.71,33.88,27.04,23.37,3.08,40.2
13.24,34.07,29.93,22.76,3.3,39.78
13.22,32.92,33.42,20.44,2.88,37.28
13.81,33.55,29.86,22.78,3.22,39.65
