p_mois,p_vol,p_ash,p_car,p_sul,p_hhv,u_car,u_hyd,u_nit
17.25,34.29,26.09,22.37,2.93,3795.9,40.65,4.66,1.28
15.65,34.61,26.87,22.87,2.94,3799.7,40.73,4.52,1.34
16.28,34.95,24.35,24.42,2.94,3945.5,42.35,4.67,1.4
10.15,37.78,27.35,24.72,3.03,4083.8,43.71,4.14,1.36
16.9,34.65,27.6,20.85,2.88,3658.2,38.92,4.68,1.36
15.73,34.41,30.87,19,3.09,3454.2,36.37,4.35,1.28
14.33,34.9,28.84,21.94,2.8,3713.4,39.77,4.49,1.43
12.32,34.68,33.84,19.17,2.7,3455.5,37.07,4.15,1.34
11.01,34.57,33.36,21.07,3.76,3691.8,38.99,4.15,1.37
12.69,35.21,32.08,20.02,3.6,3653.2,39.06,4.31,1.36
10.99,32.56,35.98,20.48,3,3494.4,36.93,4.06,1.35
9.64,35.33,31.42,23.62,3.04,3888.9,41.2,4.14,1.47
11.78,35.47,31.18,21.58,3.62,3761.6,39.92,4.25,1.37
10.25,35.54,31.88,22.34,3.1,3776.3,40.35,4.03,1.49
9.54,36.6,33.64,20.23,3.87,3739.6,39.99,3.96,1.41
8.63,36.23,31.56,23.59,3.95,4005.8,42.89,4.08,1.56
9.94,33.47,38.13,18.46,3.36,3370,35.93,3.77,1.4
14.05,34.95,32.18,18.83,4.27,3596.1,38.23,4.42,1.34
11.36,34.98,31.77,21.89,3.15,3701.8,39.2,4.07,1.51
11.93,35.24,33.14,19.7,3.19,3578.5,37.88,4.11,1.37
13.67,35.56,30.66,20.11,3.14,3584.7,38,4.19,1.38
14.75,35,30.94,19.31,4.2,3657.6,38.25,4.42,1.33
16.33,35.48,27.41,20.78,3.49,3689,38.28,4.47,1.34
13.04,34.2,34.36,18.4,3.79,3448,37.07,4.18,1.32
14.21,32.89,34.38,18.52,3.39,3311.8,36.09,4.24,1.29
14.57,34.7,32.39,18.34,3.6,3417.9,36.75,4.27,1.26
11.74,33.82,36.35,18.09,2.96,3293,35.09,3.97,1.3
13.33,34.45,32,20.22,3.19,3546.2,38.45,4.4,1.4
12.88,34.6,33.57,18.95,3.34,3428.3,36.61,4.17,1.29
12.68,35.25,33.53,18.54,2.92,3535.3,38.09,4.28,1.38
14.21,35.52,28.44,21.83,3.21,3798.1,40.25,4.49,1.4
13.49,34.26,32.94,19.31,3.02,3485.2,37.37,4.31,1.36
14.32,33.39,31.34,20.95,3.08,3609.2,38.4,4.46,1.32
13.36,34.56,30.28,21.8,3.49,3812.4,39.76,4.43,1.42
13.31,34.95,28.84,22.9,3.37,3883,41.05,4.46,1.46
10.61,34.08,34.75,20.56,3.08,3546.7,37.76,4.1,1.4
14.98,33.86,28.82,22.34,3.73,3751.5,38.6,4.39,1.36
14.1,33.66,30.74,21.5,3.46,3651.1,35.93,4.15,1.25
13.98,34.6,28.68,22.74,3.68,3853.3,40.63,4.48,1.37
14.19,35.46,27.86,22.49,3.56,3853.1,41.41,4.5,1.43
13.04,35.55,28.85,22.56,4.05,3918.4,41.31,4.39,1.43
12.96,33.76,31.71,21.57,4.35,3734.2,39.21,4.35,1.36
11.45,33.87,32.6,22.08,3.46,3762.5,39.78,4.26,1.41
12.19,33.09,29.86,24.86,3.45,3937.4,40.97,4.41,1.45
9.5,35.89,31.14,23.47,3.38,3949.2,41.87,4.12,1.53
10.3,36.06,31.25,22.39,3.53,3879,41.66,4.16,1.53
9.15,35.62,28.31,26.92,3.08,4227,45.14,4.19,1.57
10.34,36.66,27.91,25.09,2.87,4053.5,44.25,4.31,1.43
12.72,37.7,25.2,24.38,2.81,4203.9,45.53,4.59,1.5
12.32,36.47,26.42,24.79,2.95,4044,43.74,4.45,1.4
9.95,36.67,28.81,24.57,2.71,3996.5,43.2,4.23,1.43
10.18,36.02,28.64,25.16,3.18,4085.1,43.69,4.18,1.44
11.63,35.7,26.79,25.88,3.34,4174.7,43.78,4.35,1.33
15.68,36.27,25.41,22.64,3.17,3937.9,41.78,4.64,1.31
13.66,34.07,31.89,20.38,3.31,3573.5,37.83,4.29,1.23
11.34,35.26,30.25,23.15,3.68,3933.8,41.47,4.23,1.39
13.16,34.67,31.5,20.67,3.58,3694.7,39.12,4.26,1.25
13.31,35.91,26.55,24.23,3.15,3980.1,42.9,4.51,1.36
13.2,35.78,31.08,19.94,3.39,3675.2,39.3,4.34,1.22
15.42,35.13,27.02,22.43,3.77,3822.5,40.72,4.62,1.21
17.05,34.04,26.03,22.88,3.21,3807.8,40.77,4.81,1.25
16.8,34.59,25.19,23.42,3.54,3924.5,41.93,4.86,1.27
16.48,34.77,24.72,24.03,3.39,3970.6,41.67,4.8,1.25
15.91,35.04,22.09,26.96,2.42,4104.8,44.7,5.03,1.42
15.63,34.44,26.4,23.53,3.25,3907.5,41.95,4.76,1.3
14,33.95,29.37,22.68,2.99,3814,40.12,4.5,1.1
16.05,33.98,28.15,21.82,2.52,3894,41.48,4.74,1.35
15.66,35.11,26.37,22.86,2.7,3787.4,40.75,4.48,1.34
13.8,32.69,32.62,20.89,2.8,3510.3,37.26,4.15,1.18
14.71,35.23,25.38,24.68,2.93,3979.4,42.38,4.54,1.32
14.73,35.37,24.46,25.44,2.54,4058.7,42.63,4.52,1.35
14.85,35.53,26,23.62,2.63,3928.9,41.5,4.48,1.31
17.66,34.24,25.11,22.99,2.92,3854.2,40.71,4.77,1.3
15.89,33.88,26.81,23.42,3.04,3836.7,40.84,4.56,1.36
17.33,34.88,22.9,24.89,2.83,4027.2,42.34,4.84,1.35
9.94,37.7,29.81,22.55,3.18,3935.2,41.96,4.01,1.27
