p_mois,p_vol,p_ash,p_car,p_sul,p_hhv,u_car,u_hyd,u_nit
8.82,35.14,30.64,25.4,2.98,4020.6,42.67,3.98,1.49
11.38,35.78,26.95,25.89,3.09,4140,44.22,4.42,1.47
11.11,35.79,27.74,25.36,3.11,4046.6,43.23,4.25,1.54
12.14,36,28.23,23.63,3,3986,42.31,4.39,1.38
10.27,36.11,31.08,22.54,3.29,3886.2,41.83,4.21,1.34
11.25,35.45,30.57,22.73,3.05,3795.1,40.87,4.16,1.35
9.31,35.2,33.53,21.96,3.33,3801,40.51,3.93,1.27
12.52,33.4,33.25,20.83,3.88,3608.6,38.56,4.22,1.17
10.31,33.81,35.66,20.22,3.3,3568.9,37.26,3.92,1.15
13.63,33.16,32.02,21.19,3.66,3629.6,38.01,4.31,1.22
9.61,32.18,39.63,18.58,3.98,3287.8,35.24,3.73,1.14
13.79,34.56,28.86,22.79,3.26,3810.5,40.55,4.45,1.32
13.5,35.11,32.91,18.48,3.44,3538.1,37.28,4.23,1.14
16.15,33.42,29.1,21.33,3.14,3638.6,38.5,4.56,1.23
15.81,34.26,26.8,23.13,3.02,3851.4,41.52,4.87,1.26
15.01,33.26,31.32,20.41,3.06,3560.2,38.26,4.49,1.2
16.49,33.23,30.45,19.83,3.49,3492.8,37.32,4.54,1.17
14.36,32.81,33.52,19.31,3.09,3399.8,36,4.32,1.04
18.38,35.07,23.19,23.36,2.97,3748.8,40.6,4.75,1.2
16.08,34.27,28.26,21.39,3.63,3701.4,39.16,4.48,1.26
16.77,34.2,24.44,24.59,2.87,3910,41.34,4.71,1.31
14.05,34.58,29.41,21.96,2.54,3666.1,39.11,4.27,1.24
15.79,33.02,29.95,21.24,2.94,3571.9,38.17,4.45,1.22
13.76,34.04,31.92,20.28,2.72,3504.8,37.57,4.14,1.22
13.93,33.78,30.73,21.56,2.79,3645.4,38.69,4.29,1.22
14.96,35,26.77,23.27,2.4,3829.8,40.82,4.45,1.35
15.13,35.13,25.52,24.22,2.6,3922.5,41.92,4.48,1.27
19.25,34.55,20.56,25.64,2.35,4008.9,42.92,5.08,1.4
15.37,32.49,31.39,20.75,3.54,3524.9,37.62,4.32,1.23
17.3,33.87,25.7,23.13,2.8,3772.7,40.38,4.67,1.36
16.57,33.7,27.11,22.62,3.05,3759,39.64,4.6,1.24
10.42,36.37,30.16,23.05,2.89,3889.4,41.67,4.03,1.33
15.57,35.09,26.22,23.12,3.74,3950,41.29,4.67,1.41
14.54,35.69,30.76,19.02,3.92,3634.2,38.43,4.42,1.37
13.49,35.63,29.94,20.94,4.73,3728.4,39.37,4.46,1.36
13.81,35.49,32.6,18.12,3.71,3548.9,37.62,4.32,1.29
13.63,35.69,32.18,18.51,4.04,3577.3,37.43,4.29,1.31
13.96,35.37,32.29,18.39,2.84,3555.8,37.6,4.32,1.31
16.04,34.44,32.26,17.27,3.36,3440.9,36.39,4.47,1.27
13.87,34.87,34.15,17.11,3.68,3428.6,36.06,4.22,1.22
13.87,34.87,34.15,17.11,3.68,3428.6,35.51,4.25,1.2
14.85,34.46,33.59,17.11,3.69,3348.5,35.73,4.26,1.2
14.85,34.46,33.59,17.11,3.69,3348.5,35.81,4.33,1.2
14.85,34.46,33.59,17.11,3.69,3348.5,34.92,4.35,1.18
14.85,34.46,33.59,17.11,3.69,3348.5,35.7,4.23,1.23
14.26,35.15,34.86,15.74,3.7,3309.4,34.27,4.15,1.18
14.26,35.15,34.86,15.74,3.7,3309.4,35.26,4.31,1.21
14.26,35.15,34.86,15.74,3.7,3309.4,34.21,4.22,1.19
14.39,34.84,34.74,16.04,3.44,3295.4,34.86,4.13,1.22
14.39,34.84,34.74,16.04,3.44,3295.4,35.39,4.25,1.23
14.39,34.84,34.74,16.04,3.44,3295.4,35.3,4.29,1.23
14.39,34.84,34.74,16.04,3.44,3295.4,35.69,4.2,1.24
13.68,34.62,34.72,16.99,2.55,3380.4,35.99,4.21,1.27
15.27,33.95,31.13,19.66,3.34,3477.6,36.9,4.39,1.3
